'0','iabba01','Fire_Parsal_AppendixA(1)'
'1','iabba02','Fire_Parsal_AppendixB(2)'
'2','iabba03','Fire_Parsal_AppendixC(3)'
'3','iabba04','Fire_Parsal_AppendixD(4)'
'4','iabba05','Fire_Parsal_AppendixE(5)'
'5','iabba06','Fire_Parsal_AppendixF(6)'
'6','iabba07','Fire_Parsal_AppendixG(7)'
'7','iabba08','Aqua_Parsal_AppendixA(1)'
'8','iabba09','Aqua_Parsal_AppendixB(2)'
'9','iabba10','Aqua_Parsal_AppendixC(3)'
'10','iabba11','Aqua_Parsal_AppendixD(4)'
'11','iabba12','Aqua_Parsal_AppendixE(5)'
'12','iabba13','Aqua_Parsal_AppendixF(6)'
'13','iabba14','Aqua_Parsal_AppendixG(7)'
'14','iabba15','Tera_Parsal_AppendixA(1)'
'15','iabba16','Tera_Parsal_AppendixB(2)'
'16','iabba17','Tera_Parsal_AppendixC(3)'
'17','iabba18','Tera_Parsal_AppendixD(4)'
'18','iabba19','Tera_Parsal_AppendixE(5)'
'19','iabba20','Tera_Parsal_AppendixF(6)'
'20','iabba21','Tera_Parsal_AppendixG(7)'
'21','iabba22','Wind_Parsal_AppendixA(1)'
'22','iabba23','Wind_Parsal_AppendixB(2)'
'23','iabba24','Wind_Parsal_AppendixC(3)'
'24','iabba25','Wind_Parsal_AppendixD(4)'
'25','iabba26','Wind_Parsal_AppendixE(5)'
'26','iabba27','Wind_Parsal_AppendixF(6)'
'27','iabba28','Wind_Parsal_AppendixG(7)'
'28','iabba29','Fire_Spirit_AppendixA(1)'
'29','iabba30','Fire_Spirit_AppendixB(2)'
'30','iabba31','Fire_Spirit_AppendixC(3)'
'31','iabba32','Fire_Spirit_AppendixD(4)'
'32','iabba33','Fire_Spirit_AppendixE(5)'
'33','iabba34','Fire_Spirit_AppendixF(6)'
'34','iabba35','Fire_Spirit_AppendixG(7)'
'35','iabba36','Aqua_Mind_AppendixA(1)'
'36','iabba37','Aqua_Mind_AppendixB(2)'
'37','iabba38','Aqua_Mind_AppendixC(3)'
'38','iabba39','Aqua_Mind_AppendixD(4)'
'39','iabba40','Aqua_Mind_AppendixE(5)'
'40','iabba41','Aqua_Mind_AppendixF(6)'
'41','iabba42','Aqua_Mind_AppendixG(7)'
'42','iabba43','Fire_Mind_AppendixA(1)'
'43','iabba44','Fire_Mind_AppendixB(2)'
'44','iabba45','Fire_Mind_AppendixC(3)'
'45','iabba46','Fire_Mind_AppendixD(4)'
'46','iabba47','Fire_Mind_AppendixE(5)'
'47','iabba48','Fire_Mind_AppendixF(6)'
'48','iabba49','Fire_Mind_AppendixG(7)'
'49','iabba50','Tera_Mind_AppendixA(1)'
'50','iabba51','Tera_Mind_AppendixB(2)'
'51','iabba52','Tera_Mind_AppendixC(3)'
'52','iabba53','Tera_Mind_AppendixD(4)'
'53','iabba54','Tera_Mind_AppendixE(5)'
'54','iabba55','Tera_Mind_AppendixF(6)'
'55','iabba56','Tera_Mind_AppendixG(7)'
'56','iabba57','Wind_Mind_AppendixA(1)'
'57','iabba58','Wind_Mind_AppendixB(2)'
'58','iabba59','Wind_Mind_AppendixC(3)'
'59','iabba60','Wind_Mind_AppendixD(4)'
'60','iabba61','Wind_Mind_AppendixE(5)'
'61','iabba62','Wind_Mind_AppendixF(6)'
'62','iabba63','Wind_Mind_AppendixG(7)'
'63','iabba64','Aqua_Ell_AppendixA(1)'
'64','iabba65','Aqua_Ell_AppendixB(2)'
'65','iabba66','Aqua_Ell_AppendixC(3)'
'66','iabba67','Aqua_Ell_AppendixD(4)'
'67','iabba68','Aqua_Ell_AppendixE(5)'
'68','iabba69','Aqua_Ell_AppendixF(6)'
'69','iabba70','Aqua_Ell_AppendixG(7)'
'70','iabba71','Fire_Ell_AppendixA(1)'
'71','iabba72','Fire_Ell_AppendixB(2)'
'72','iabba73','Fire_Ell_AppendixC(3)'
'73','iabba74','Fire_Ell_AppendixD(4)'
'74','iabba75','Fire_Ell_AppendixE(5)'
'75','iabba76','Fire_Ell_AppendixF(6)'
'76','iabba77','Fire_Ell_AppendixG(7)'
'77','iabba78','Elemental_Parsal_Appendix(Rare1-1)'
'78','iabba79','Elemental_Parsal_Appendix(Rare1-2)'
'79','iabba80','Elemental_Parsal_Appendix(Rare1-3)'
'80','iabba81','Elemental_Parsal_Appendix(Rare1-4)'
