'0','ixbdn25','Battle_Dungeon_Gate(Lv25General)'
'1','ixbdp25','Battle_Dungeon_Gate(Lv25Party)'
'2','ixbdn20','Battle_Dungeon_Gate(Lv20General)'
'3','ixbdp20','Battle_Dungeon_Gate(Lv20Party)'
'4','ixkey01','Gateway_Generating_Key(Wing_Battle_Dungeon15_20)'
'5','ixkey02','Gateway_Generating_Key(Flem_Battle_Dungeon21_25)'
'6','ixkey03','Gateway_Generating_Key(SnatcherHill_Battle_Dungeon21_25)'
'7','ixkey04','Gateway_Generating_Key(Grumble_Battle_Dungeon26_30)'
'8','ixkey05','Gateway_Generating_Key(Gaff_Battle_Dungeon26_30)'
'9','ixkey06','Gateway_Generating_Key(Hugaff_Battle_Dungeon26_30)'
'10','ixkey07','Gateway_Generating_Key(Splinter_Battle_Dungeon31_35)'
'11','ixkey08','Gateway_Generating_Key(Volcanic_Battle_Dungeon31_35)'
'12','ixkey09','Gateway_Generating_Key(Sizzler_Battle_Dungeon31_35)'
'13','ixkey10','Gateway_Generating_Key(Argol_Battle_Dungeon31_35)'
'14','ixkey11','Gateway_Generating_Key(Lizard_Battle_Dungeon36_40)'
'15','ixkey12','Gateway_Generating_Key(Crawler_Battle_Dungeon36_40)'
'16','ixkey13','Gateway_Generating_Key(Larva_Battle_Dungeon36_40)'
'17','ixkey14','Gateway_Generating_Key(Baffer_Battle_Dungeon36_40)'
'18','ixkey15','Gateway_Generating_Key(Claude_Battle_Dungeon41_45)'
'19','ixkey16','Gateway_Generating_Key(Hobo_Battle_Dungeon41_45)'
'20','ixkey17','Gateway_Generating_Key(Sonash_Battle_Dungeon41_45)'
'21','ixkey18','Gateway_Generating_Key(KingTwizer_Battle_Dungeon41_45)'
'22','ixkey19','Gateway_Generating_Key(Passer_Battle_Dungeon41_45)'
'23','ixkey20','Gateway_Generating_Key(SnatcherRexBattleDungeon46_49)'
'24','ixkey21','Gateway_Generating_Key(HellerBattleDungeon46_49)'
'25','ixkey22','Gateway_Generating_Key(AnabolaBattleDungeon46_49)'
'26','ixkey23','Gateway_Generating_Key(CalianaBattleDungeon46_49)'
'27','ixkey24','Gateway_Generating_Key(TurncoatBattleDungeon46_49)'
'28','ixkey25','Gateway_Generating_Key(DarkHoleLv45)'
'29','ixkey26','Gateway_Generating_Key(RaidDungeonLv50~55_1)'
'30','ixkey27','Gateway_Generating_Key(RaidDungeonLv50~55_2)'
'31','ixkey28','Gateway_Generating_Key(RaidDungeonLv50~55_3)'
'32','ixkey29','Gateway_Generating_Key(RaidDungeonLv50~55_4)'
'33','ixkey30','Gateway_Generating_Key(RaidDungeonLv50~55_5)'
'34','ixkey31','Gateway_Generating_Key(HoraDarkHallLv50~55)'
'35','ixkey32','Gateway_Creating_Key(DarkHallLv45)'
'36','ixbde25','Event_Dungeon25~30'
'37','ixbde35','Event_Dungeon31~35'
'38','ixbde40','Event_Dungeon36~40'
'39','ixbee25','Event_Dungeon30(01~29)'
'40','ixbee35','Event_Dungeon35(30~35)'
'41','ixbee40','Event_Dungeon40(36~50)'
'42','ixins01','Gateway_creation_key(InstantDungeon50_52)'
'43','ixins02','Gateway_creation_key(InstantDungeon53_55)'
'44','ixins03','A dimension tranfer Gate Creation Key[The Present](InstantDungeon)'
'45','ixins04','A dimension tranfer Gate Creation Key[The Future](InstantDungeon)'
