'0','iyyyy01','Cling'
'1','iyyyy02','Haren'
'2','iyyyy03','Greaf'
'3','iyyyy04','Rian'
'4','iyyyy05','Mika'
'5','iyyyy06','Louis_Mika'
'6','iyyyy07','Mid_Mika'
'7','iyyyy08','Wief'
'8','iyyyy09','Cell_Wief'
'9','iyyyy10','Ward_Wief'
'10','iyyyy11','Lake'
'11','iyyyy12','Riar'
'12','iyyyy13','Jem_Riar'
'13','iyyyy14','Jemz_Riar'
'14','iyyyy15','Jim'
'15','iyyyy16','Zid'
'16','iyyyy17','Sol_Zid'
'17','iyyyy18','High_Zid'
'18','iyyyy19','Warm'
'19','iyyyy20','BliDend'
'20','iyyyy21','Ply_BliDend'
'21','iyyyy22','Siar_BliDend'
'22','iyyyy23','Gli'
'23','iyyyy24','Beam'
'24','iyyyy25','Silver_catalyst'
'25','iyyyy26','Gold_catalyst'
'26','iyeee01','????(1)'
'27','iyeee02','????(2)'
'28','iyeee03','????(3)'
'29','iyeee04','????(5)'
'30','iyeee05','????(10)'
'31','iyeee06','GS_eShop(1-1)'
'32','iyeee07','GS_eShop(1-2)'
'33','iyeee08','GS_eShop(1-3)'
'34','iyeee09','GS_eShop(1-5)'
'35','iyeee10','GS_eShop(1-10)'
'36','iyeee11','GS_eShop(2-1)'
'37','iyeee12','GS_eShop(2-2)'
'38','iyeee13','GS_eShop(2-3)'
'39','iyeee14','GS_eShop(2-5)'
'40','iyeee15','GS_eShop(2-10)'
'41','iyeee16','GS_eShop(3-1)'
'42','iyeee17','GS_eShop(3-2)'
'43','iyeee18','GS_eShop(3-3)'
'44','iyeee19','GS_eShop(3-5)'
'45','iyeee20','GS_eShop(3-10)'
'46','iyeee21','GS_eShop(4-1)'
'47','iyeee22','GS_eShop(4-2)'
'48','iyeee23','GS_eShop(4-3)'
'49','iyeee24','GS_eShop(4-5)'
'50','iyeee25','GS_eShop(4-10)'
'51','iyeee26','GS_eShop(5-1)'
'52','iyeee27','GS_eShop(5-2)'
'53','iyeee28','GS_eShop(5-3)'
'54','iyeee29','GS_eShop(5-5)'
'55','iyeee30','GS_eShop(5-10)'
'56','iytwe01','?????(?????)'
'57','iytwe02','?????(?????)'
'58','iybla01','Black_ExcelSiar_A'
'59','iybla02','Black_ExcelSiar_B'
'60','iybla03','Black_ExcelSiar_C'
'61','iyred01','Red_ExcelSiar_A'
'62','iyred02','Red_ExcelSiar_B'
'63','iyred03','Red_ExcelSiar_C'
'64','iyblu01','Blue_ExcelSiar_A'
'65','iyblu02','Blue_ExcelSiar_B'
'66','iyblu03','Blue_ExcelSiar_C'
'67','iygre01','Green_ExcelSiar_A'
'68','iygre02','Green_ExcelSiar_B'
'69','iygre03','Green_ExcelSiar_C'
'70','iyyel01','Yellow_ExcelSiar_A'
'71','iyyel02','Yellow_ExcelSiar_B'
'72','iyyel03','Yellow_ExcelSiar_C'
'73','iypur01','Purple_ExcelSiar_A'
'74','iypur02','Purple_ExcelSiar_B'
'75','iypur03','Purple_ExcelSiar_C'
'76','iywhi01','White_ExcelSiar_A'
'77','iywhi02','White_ExcelSiar_B'
'78','iywhi03','White_ExcelSiar_C'
'79','iybrw01','Brown_ExcelSiar_A'
'80','iybrw02','Brown_ExcelSiar_B'
'81','iybrw03','Brown_ExcelSiar_C'
'82','iyolv01','Olive_ExcelSiar_A'
'83','iyolv02','Olive_ExcelSiar_B'
'84','iyolv03','Olive_ExcelSiar_C'
'85','iynav01','Navy_ExcelSiar_A'
'86','iynav02','Navy_ExcelSiar_B'
'87','iynav03','Navy_ExcelSiar_C'
'88','iyxma01','Red_Socks'
'89','iygra01','Gravity_Stone'
'90','iyaop01','Wind_Ability_Reaver'
'91','iybop01','Endurance_Ability_Reaver'
'92','iycop01','Fine_Ability_Reaver'
'93','iydop01','Smart_Ability_Reaver'
'94','iyeop01','Strong_Ability_Reaver'
'95','iyfop01','Solid_Ability_Reaver'
'96','iygop01','Strength_Ability_Reaver'
'97','iyhop01','Advanced_Strength_Reaver'
'98','iyiop01','Vampire_Ability_Reaver'
'99','iyjop01','Guardian_Ability_Reaver'
'100','iykop01','Sharp_Ability_Reaver'
'101','iylop01','Grand_Ability_Reaver'
'102','iyext01','Ability_Extracter'
'103','iymer01','Ability_Combiner'
'104','iymer02','Ability_Combiner_Special'
'105','iyjpb01','Premium_Ticket_Lv1(Bella)'
'106','iyjpb02','Premium_Ticket_Lv43(Bella)'
'107','iyjpc01','Premium_Ticket_Lv1(Cora)'
'108','iyjpc02','Premium_Ticket_Lv43(Cora)'
'109','iyjpa01','Premium_Ticket_Lv1(Acc)'
'110','iyjpa02','Premium_Ticket_Lv43(Acc)'
'111','iydbr01','Broken_Walnut'
'112','iycra01','Hammer'
'113','iymop01','Anti-Sharp_Ability_Reaver'
'114','iynop01','Saving_Ability_Reaver'
'115','iyoop01','Protection_Ability_Reaver'
'116','iyscr01','Warrior`s_Witness'
'117','iyfok01','Leon_Gun_Blade_Piece1(0)'
'118','iyfok02','Leon_Gun_Blade_Piece2(0)'
'119','iyfok03','Leon_Gun_Blade_Piece3(0)'
'120','iyfok04','Leon_Gun_Blade_Piece4(0)'
'121','iyffk01','Leon_Sickle_Knife_Piece1(0)'
'122','iyffk02','Leon_Sickle_Knife_Piece2(0)'
'123','iyffk03','Leon_Sickle_Knife_Piece3(0)'
'124','iyffk04','Leon_Sickle_Knife_Piece4(0)'
'125','iyfik01','Leon_Hora_Knife_Piece1(0)'
'126','iyfik02','Leon_Hora_Knife_Piece2(0)'
'127','iyfik03','Leon_Hora_Knife_Piece3(0)'
'128','iyfik04','Leon_Hora_Knife_Piece4(0)'
'129','iyfos01','Leon_Lance_Piece1(0)'
'130','iyfos02','Leon_Lance_Piece2(0)'
'131','iyfos03','Leon_Lance_Piece3(0)'
'132','iyfos04','Leon_Lance_Piece4(0)'
'133','iyffs01','Leon_Field_Lance_Piece1(0)'
'134','iyffs02','Leon_Field_Lance_Piece2(0)'
'135','iyffs03','Leon_Field_Lance_Piece3(0)'
'136','iyffs04','Leon_Field_Lance_Piece4(0)'
'137','iyfis01','Leon_Hora_Spear_Piece1(0)'
'138','iyfis02','Leon_Hora_Spear_Piece2(0)'
'139','iyfis03','Leon_Hora_Spear_Piece3(0)'
'140','iyfis04','Leon_Hora_Spear_Piece4(0)'
'141','iyfot01','Leon_Black_Stick_Bead_Piece1(0)'
'142','iyfot02','Leon_Black_Stick_Bead_Piece2(0)'
'143','iyfot03','Leon_Black_Stick_Bead_Piece3(0)'
'144','iyfot04','Leon_Black_Stick_Bead_Piece4(0)'
'145','iyfft01','Leon_Sickle_Staff_Piece1(0)'
'146','iyfft02','Leon_Sickle_Staff_Piece2(0)'
'147','iyfft03','Leon_Sickle_Staff_Piece3(0)'
