'0','bxlow01','Bamboo_in_a_Lover'
'1','bxchr01','Small_GiftBox'
'2','bxchr02','GiftBox'
'3','bxchr03','Big_GiftBox'
'4','bxdbr01','Walnut'
'5','bxwhi01','GiftBox'
'6','bxbch01','Box_of_Triumph(Bellato)'
'7','bxcch01','Box_of_Dicem(Cora)'
'8','bxach01','Box_of_Kesar(Accretia)'
'9','bxscr01','Symbol_of_Warrior'
'10','bxgem01','Master`s_Small_Gift'
'11','bxgem02','Master`s_Gift'
'12','bxgem03','Master`s_Large_Gift'
'13','bxxts01','Test_Server_Only_WarriorWeaponPiece'
'14','bxxts02','Test_Server_Only_LauncherStaffPiece'
'15','bxxts03','Test_Server_Only_RangerWeaponPiece'
'16','bxxts04','Test_Server_Only_SetItemPiece'
'17','bxxts05','Test_Server_Only_UniformItemPiece'
'18','bxcsa01','Celebration_of_Item_Sale_Base_Luck_Box<Small>(Bellatocash)'
'19','bxcsa02','Celebration_of_Item_Sale_Base_Luck_Box<Medium>(Bellatocash)'
'20','bxcsa03','Celebration_of_Item_Sale_Base_Luck_Box<Large>(Bellatocash)'
'21','bxcsa04','Celebration_of_Item_Sale_Base_Luck_Box<Small>(Coracash)'
'22','bxcsa05','Celebration_of_Item_Sale_Base_Luck_Box<Medium>(Coracash)'
'23','bxcsa06','Celebration_of_Item_Sale_Base_Luck_Box<Large>(Coracash)'
'24','bxcsa07','Celebration_of_Item_Sale_Base_Luck_Box<Small>(Accretiacash)'
'25','bxcsa08','Celebration_of_Item_Sale_Base_Luck_Box<Medium>(Accretiacash)'
'26','bxcsa09','Celebration_of_Item_Sale_Base_Luck_Box<Large>(Accretiacash)'
'27','bxchu00','ThanksGiving_LargeGift_Set'
'28','bxchu01','ThanksGiving_Gift_Set'
'29','bxcjh01','Inventer`s_Accessories_Box(Ability_Box)'
'30','bxcsa10','Favor_Received_Box<Small>(Bell_cash)'
'31','bxcsa11','Favor_Received_Box<Medium>(Bell_cash)'
'32','bxcsa12','Favor_Received_Box<Large>(Bell_cash)'
'33','bxcsa13','Favor_Received_Box<Small>(Cora_cash)'
'34','bxcsa14','Favor_Received_Box<Medium>(Cora_cash)'
'35','bxcsa15','Favor_Received_Box<Large>(Cora_cash)'
'36','bxcsa16','Favor_Received_Box<Small>(Acc_cash)'
'37','bxcsa17','Favor_Received_Box<Medium>(Acc_cash)'
'38','bxcsa18','Favor_Received_Box<Large>(Acc_cash)'
'39','bxcsa19','Igonrance_Good_Box<Small>(Bell_cash)'
'40','bxcsa20','Igonrance_Good_Box<Medium>(Bell_cash)'
'41','bxcsa21','Igonrance_Good_Box<Large>(Bell_cash)'
'42','bxcsa22','Igonrance_Good_Box<Small>(Cora_cash)'
'43','bxcsa23','Igonrance_Good_Box<Medium>(Cora_cash)'
'44','bxcsa24','Igonrance_Good_Box<Large>(Cora_cash)'
'45','bxcsa25','Igonrance_Good_Box<Small>(Acc_cash)'
'46','bxcsa26','Igonrance_Good_Box<Medium>(Acc_cash)'
'47','bxcsa27','Igonrance_Good_Box<Large>(Acc_cash)'
'48','bxcsa28','Socket_Box'
'49','bxgem04','Master`s_Recycling_box'
'50','bxdha00','Hora_DarkHall`s_OldBox(Bellato)'
'51','bxdha01','Hora_DarkHall`s_OldBox(Cora)'
'52','bxdha02','Hora_DarkHall`s_OldBox(Accretia)'
'53','bxdha03','Hora_DarkHall`s_HelmetBox(Bellato)'
'54','bxdha04','Hora_DarkHall`s_HelmetBox(Cora)'
'55','bxdha05','Hora_DarkHall`s_HelmetBox(Accretia)'
'56','bxdha06','Hora_DarkHall`s_ArmorBox(Bellato)'
'57','bxdha07','Hora_DarkHall`s_ArmorBox(Cora)'
'58','bxdha08','Hora_DarkHall`s_ArmorBox(Accretia)'
'59','bxdha09','Hora_DarkHall`s_LegBox(Bellato)'
'60','bxdha10','Hora_DarkHall`s_LegBox(Cora)'
'61','bxdha11','Hora_DarkHall`s_LegBox(Accretia)'
'62','bxdha12','Hora_DarkHall`s_GauntletBox(Bellato)'
'63','bxdha13','Hora_DarkHall`s_GauntletBox(Cora)'
'64','bxdha14','Hora_DarkHall`s_GauntletBox(Accretia)'
'65','bxdha15','Hora_DarkHall`s_ShoesBox(Bellato)'
'66','bxdha16','Hora_DarkHall`s_ShoesBox(Cora)'
'67','bxdha17','Hora_DarkHall`s_ShoesBox(Accretia)'
'68','bxdha18','Hora_DarkHall`s_WeaponBox(Bellato)'
'69','bxdha19','Hora_DarkHall`s_WeaponBox(Cora)'
'70','bxdha20','Hora_DarkHall`s_WeaponBox(Accretia)'
'71','bxdha21','Hora_DarkHall`s_TreasureBox(Bellato)'
'72','bxdha22','Hora_DarkHall`s_TreasureBox(Cora)'
'73','bxdha23','Hora_DarkHall`s_TreasureBox(Accretia)'
'74','bxknb01','Hidden_Magical_Dark_Beam_Saber(50)'
'75','bxswb01','Hidden_Magical_Dark_Beam_Sword(50)'
'76','bxaxb01','Hidden_Magical_Dark_Bullova(50)'
'77','bxmab01','Hidden_Magical_Dark_Beam_Pressure(50)'
'78','bxspb01','Hidden_Magical_Black_Lance(50)'
'79','bxbob01','Hidden_Magical_Black_Siege_Bow(50)'
'80','bxfib01','Hidden_Magical_Dark_Gatling(50)'
'81','bxlub01','Hidden_Magical_Dark_Flame_Launcher(50)'
'82','bxstb01','Hidden_Magical_Dark_Staff(50)'
'83','bxbih01','Hidden_Magical_Helmet'
'84','bxcih01','Hidden_Magical_Helmet'
'85','bxaih01','Hidden_Magical_Helmet'
'86','bxbiu01','Hidden_Magical_Shirts'
'87','bxciu01','Hidden_Magical_Shirts'
'88','bxaiu01','Hidden_Magical_Shirts'
'89','bxbil01','Hidden_Magical_Pants'
'90','bxcil01','Hidden_Magical_Pants'
'91','bxail01','Hidden_Magical_Pants'
'92','bxbig01','Hidden_Magical_Gloves'
'93','bxcig01','Hidden_Magical_Gloves'
'94','bxaig01','Hidden_Magical_Gloves'
'95','bxbis01','Hidden_Magical_Shoes'
'96','bxcis01','Hidden_Magical_Shoes'
'97','bxais01','Hidden_Magical_Shoes'
'98','bxbih00','Blocked_Magical_Helmet'
'99','bxcih00','Blocked_Magical_Helmet'
'100','bxaih00','Blocked_Magical_Helmet'
'101','bxbiu00','Blocked_Magical_Shirts'
'102','bxciu00','Blocked_Magical_Shirts'
'103','bxaiu00','Blocked_Magical_Shirts'
'104','bxbil00','Blocked_Magical_Pants'
'105','bxcil00','Blocked_Magical_Pants'
'106','bxail00','Blocked_Magical_Pants'
'107','bxbig00','Blocked_Magical_Gloves'
'108','bxcig00','Blocked_Magical_Gloves'
'109','bxaig00','Blocked_Magical_Gloves'
'110','bxbis00','Blocked_Magical_Shoes'
'111','bxcis00','Blocked_Magical_Shoes'
'112','bxais00','Blocked_Magical_Shoes'
'113','bxbud01','BeadBox'
'114','bxtal01','Mysterious_TreasureBox[Defense]'
'115','bxtal02','Blessed_Mysterious_TreasureBox[Defense]'
'116','bxtal03','Mysterious_TreasureBox[Offense]'
'117','bxtal04','Blessed_Mysterious_TreasureBox[Offense]'
'118','bxbwc50','Union_Warrior_RewardBox_50LV'
'119','bxbrc50','Union_Ranger_RewardBox_50LV'
'120','bxbfc50','Union_Force_RewardBox_50LV'
'121','bxcwc50','Alliance_Warrior_RewardBox_50LV'
'122','bxcrc50','Alliance_Ranger_RewardBox_50LV'
'123','bxcfc50','Alliance_Force_RewardBox_50LV'
'124','bxawc50','Emperial_Warrior_RewardBox_50LV'
'125','bxarc50','Emperial_Ranger_RewardBox_50LV'
'126','bxafc50','Emperial_Launcher_RewardBox_50LV'
