'0','ikbb001','Force_Booster(BellatoCape1)'
'1','ikbb002','Fire_Force_Booster(BellatoCape2)'
'2','ikbb003','Aqua_Force_Booster(BellatoCape3)'
'3','ikbb004','Terra_Force_Booster(BellatoCape4)'
'4','ikbb005','Wind_Force_Booster(BellatoCape5)'
'5','ikbb006','Advanced_Force_Booster(BellatoCape6)'
'6','ikbb007','Advanced_Fire_Force_Booster(BellatoCape7)'
'7','ikbb008','Advanced_Aqua_Force_Booster(BellatoCape8)'
'8','ikbb009','Advanced_Terra_Booster(BellatoCape9)'
'9','ikbb010','Advanced_Wind_Booster(BellatoCape10)'
'10','ikbb011','Bellato_Mantle11'
'11','ikbpc01','Cafe_Only_Jet_Pack(Bellato)'
'12','ikbb013','Golden_Force_Booster(BellatoCloak6)'
'13','ikbb014','Golden_Etel_Wing(CoraCloak6)'
'14','ikbb015','Golden_Penger_Priguel(AccretiaCloak6)'
'15','ikbb016','Stealth_Cloak'
'16','ikbb017','Bellato_Mantle17'
'17','ikbb018','Bellato_Mantle18'
'18','ikbb019','Bellato_Mantle19'
'19','ikbb020','Bellato_Mantle20'
'20','ikbb021','Bellato_Mantle21'
'21','ikbb022','Bellato_Mantle22'
'22','ikbb023','Bellato_Mantle23'
'23','ikbb024','Bellato_Mantle24'
'24','ikbb025','Bellato_Mantle25'
'25','ikbb026','Bellato_Mantle26'
'26','ikbb027','Bellato_Mantle27'
'27','ikbb028','Bellato_Mantle28'
'28','ikbb029','Bellato_Mantle29'
'29','ikbb030','Bellato_Mantle30'
'30','ikbb031','Bellato_Mantle31'
'31','ikbb032','Bellato_Mantle32'
'32','ikbb033','Bellato_Mantle33'
'33','ikbb034','Bellato_Mantle34'
'34','ikbb035','Bellato_Mantle35'
'35','ikbb036','Bellato_Mantle36'
'36','ikbb037','Bellato_Mantle37'
'37','ikbb038','Bellato_Mantle38'
'38','ikbb039','Bellato_Mantle39'
'39','ikbb040','Bellato_Mantle40'
'40','ikbb041','Bellato_Mantle41'
'41','ikbb042','Bellato_Mantle42'
'42','ikbb043','Bellato_Mantle43'
'43','ikbb044','Bellato_Mantle44'
'44','ikbb045','Bellato_Mantle45'
'45','ikbb046','Bellato_Mantle46'
'46','ikbb047','Bellato_Mantle47'
'47','ikbb048','Bellato_Mantle48'
'48','ikbb049','Bellato_Mantle49'
'49','ikbb050','Bellato_Mantle50'
'50','ikbb051','Bellato_Mantle51'
'51','ikbb052','Bellato_Mantle52'
'52','ikbb053','Bellato_Mantle53'
'53','ikbb054','Bellato_Mantle54'
'54','ikbb055','Bellato_Mantle55'
'55','ikbb056','Bellato_Mantle56'
'56','ikbb057','Bellato_Mantle57'
'57','ikbb058','Bellato_Mantle58'
'58','ikbb059','Bellato_Mantle59'
'59','ikbb060','Bellato_Mantle60'
'60','ikbb061','Bellato_Mantle61'
'61','ikbb062','Bellato_Mantle62'
'62','ikbb063','Bellato_Mantle63'
'63','ikbb064','Bellato_Mantle64'
'64','ikbb065','Bellato_Mantle65'
'65','ikbb066','Bellato_Mantle66'
'66','ikbb067','Bellato_Mantle67'
'67','ikbb068','Bellato_Mantle68'
'68','ikbb069','Bellato_Mantle69'
'69','ikbb070','Bellato_Mantle70'
'70','ikbb071','Bellato_Mantle71'
'71','ikbb072','Bellato_Mantle72'
'72','ikbb073','Bellato_Mantle73'
'73','ikbb074','Bellato_Mantle74'
'74','ikbb075','Bellato_Mantle75'
'75','ikbb076','Bellato_Mantle76'
'76','ikbb077','Bellato_Mantle77'
'77','ikbb078','Bellato_Mantle78'
'78','ikbb079','Bellato_Mantle79'
'79','ikbb080','Bellato_Mantle80'
'80','ikbb081','Bellato_Mantle81'
'81','ikbb082','Bellato_Mantle82'
'82','ikbb083','Bellato_Mantle83'
'83','ikbb084','Bellato_Mantle84'
'84','ikbb085','Bellato_Mantle85'
'85','ikbb086','Bellato_Mantle86'
'86','ikbb087','Bellato_Mantle87'
'87','ikbb088','Bellato_Mantle88'
'88','ikbb089','Bellato_Mantle89'
'89','ikbb090','Bellato_Mantle90'
'90','ikbb091','Bellato_Mantle91'
'91','ikbb092','Bellato_Mantle92'
'92','ikbb093','Bellato_Mantle93'
'93','ikbb094','Bellato_Mantle94'
'94','ikbb095','Bellato_Mantle95'
'95','ikbb096','Bellato_Mantle96'
'96','ikbb097','Bellato_Mantle97'
'97','ikbb098','Bellato_Mantle98'
'98','ikbb099','Bellato_Mantle99'
'99','ikbb100','Bellato_Mantle100'
'100','ikbb101','Bellato_Mantle101'
'101','ikbb102','Bellato_Mantle102'
'102','ikbb103','Bellato_Mantle103'
'103','ikbb104','Bellato_Mantle104'
'104','ikbb105','Bellato_Mantle105'
'105','ikbb106','Bellato_Mantle106'
