'0','igdbf01','Default_Bellato_Male_Gloves_1'
'1','igdbf02','Default_Bellato_Male_Gloves_2'
'2','igdbf03','Default_Bellato_Male_Gloves_3'
'3','igdbf04','Default_Bellato_Male_Gloves_4'
'4','igdbf05','Default_Bellato_Male_Gloves_5'
'5','igdbf06','Default_Bellato_Male_Gloves_6'
'6','igdbf07','Default_Bellato_Male_Gloves_7'
'7','igdbf08','Default_Bellato_Male_Gloves_8'
'8','igdbf09','Default_Bellato_Male_Gloves_9'
'9','igdbf10','Default_Bellato_Male_Gloves_10'
'10','igdbf11','Default_Bellato_Male_Gloves_11'
'11','igdbf12','Default_Bellato_Male_Gloves_12'
'12','igdbf13','Default_Bellato_Male_Gloves_13'
'13','igdbf14','Default_Bellato_Male_Gloves_14'
'14','igdbf15','Default_Bellato_Male_Gloves_15'
'15','igdbf16','Default_Bellato_Male_Gloves_16'
'16','igdbm01','Default_Bellato_Female_Gloves_1'
'17','igdbm02','Default_Bellato_Female_Gloves_2'
'18','igdbm03','Default_Bellato_Female_Gloves_3'
'19','igdbm04','Default_Bellato_Female_Gloves_4'
'20','igdbm05','Default_Bellato_Female_Gloves_5'
'21','igdbm06','Default_Bellato_Female_Gloves_6'
'22','igdbm07','Default_Bellato_Female_Gloves_7'
'23','igdbm08','Default_Bellato_Female_Gloves_8'
'24','igdbm09','Default_Bellato_Female_Gloves_9'
'25','igdbm10','Default_Bellato_Female_Gloves_10'
'26','igdbm11','Default_Bellato_Female_Gloves_11'
'27','igdbm12','Default_Bellato_Female_Gloves_12'
'28','igdbm13','Default_Bellato_Female_Gloves_13'
'29','igdbm14','Default_Bellato_Female_Gloves_14'
'30','igdbm15','Default_Bellato_Female_Gloves_15'
'31','igdbm16','Default_Bellato_Female_Gloves_16'
'32','igdcf01','Default_Cora_Male_Gloves_1'
'33','igdcf02','Default_Cora_Male_Gloves_2'
'34','igdcf03','Default_Cora_Male_Gloves_3'
'35','igdcf04','Default_Cora_Male_Gloves_4'
'36','igdcf05','Default_Cora_Male_Gloves_5'
'37','igdcf06','Default_Cora_Male_Gloves_6'
'38','igdcf07','Default_Cora_Male_Gloves_7'
'39','igdcf08','Default_Cora_Male_Gloves_8'
'40','igdcf09','Default_Cora_Male_Gloves_9'
'41','igdcf10','Default_Cora_Male_Gloves_10'
'42','igdcf11','Default_Cora_Male_Gloves_11'
'43','igdcf12','Default_Cora_Male_Gloves_12'
'44','igdcf13','Default_Cora_Male_Gloves_13'
'45','igdcf14','Default_Cora_Male_Gloves_14'
'46','igdcf15','Default_Cora_Male_Gloves_15'
'47','igdcf16','Default_Cora_Male_Gloves_16'
'48','igdcm01','Default_Cora_Female_Gloves_1'
'49','igdcm02','Default_Cora_Female_Gloves_2'
'50','igdcm03','Default_Cora_Female_Gloves_3'
'51','igdcm04','Default_Cora_Female_Gloves_4'
'52','igdcm05','Default_Cora_Female_Gloves_5'
'53','igdcm06','Default_Cora_Female_Gloves_6'
'54','igdcm07','Default_Cora_Female_Gloves_7'
'55','igdcm08','Default_Cora_Female_Gloves_8'
'56','igdcm09','Default_Cora_Female_Gloves_9'
'57','igdcm10','Default_Cora_Female_Gloves_10'
'58','igdcm11','Default_Cora_Female_Gloves_11'
'59','igdcm12','Default_Cora_Female_Gloves_12'
'60','igdcm13','Default_Cora_Female_Gloves_13'
'61','igdcm14','Default_Cora_Female_Gloves_14'
'62','igdcm15','Default_Cora_Female_Gloves_15'
'63','igdcm16','Default_Cora_Female_Gloves_16'
'64','igdam01','Default_Accretia_Gloves_1'
'65','igdam02','Default_Accretia_Gloves_2'
'66','igdam03','Default_Accretia_Gloves_3'
'67','igdam04','Default_Accretia_Gloves_4'
'68','igdam05','Default_Accretia_Gloves_5'
'69','igdam06','Default_Accretia_Gloves_6'
'70','igdam07','Default_Accretia_Gloves_7'
'71','igdam08','Default_Accretia_Gloves_8'
'72','igdam09','Default_Accretia_Gloves_9'
'73','igdam10','Default_Accretia_Gloves_10'
'74','igdam11','Default_Accretia_Gloves_11'
'75','igdam12','Default_Accretia_Gloves_12'
'76','igdam13','Default_Accretia_Gloves_13'
'77','igdam14','Default_Accretia_Gloves_14'
'78','igdam15','Default_Accretia_Gloves_15'
'79','igdam16','Default_Accretia_Gloves_16'
'80','igbwa04','Training_Gloves(Bellato_Warrior_Normal)'
'81','igbwb04','Intense_Training_Gloves(Bellato_Warrior_TypeB)'
'82','igbwc04','Premium_W.Lv1_Gauntlet(Bellato_Warrior_TypeC)'
'83','igbwd04','Premium_W.Lv43_Gauntlet(Bellato_Warrior_TypeD)'
'84','igbwa07','Rag_Gloves(Bellato_Warrior_TypeA)'
'85','igbwb07','Intense_Rag_Glove(Bellato_Warrior_TypeB)'
'86','igbwc07','Rag_Glove(Bellato_Warrior_TypeC)'
'87','igbwd07','Rag_Glove(Bellato_Warrior_TypeD)'
'88','igbwa10','Leather_Glove(Bellato_Warrior_TypeA)'
'89','igbwb10','Intense_Leather_Glove(Bellato_Warrior_TypeB)'
'90','igbwc10','Leather_Glove(Bellato_Warrior_TypeC)'
'91','igbwd10','Leather_Glove(Bellato_Warrior_TypeD)'
'92','igbwa13','Normal_Parsal_Bangle(Bellato_Warrior_TypeA)'
'93','igbwb13','Intense_Normal_Parsal_Bangle(Bellato_Warrior_TypeB)'
'94','igbwc13','Normal_Parsal_Bangle(Bellato_Warrior_TypeC)'
'95','igbwd13','Normal_Parsal_Bangle(Bellato_Warrior_TypeD)'
'96','igbwa16','Parsal_Bangle(Bellato_Warrior_TypeA)'
'97','igbwb16','Intense_Parsal_Bangle(Bellato_Warrior_TypeB)'
'98','igbwc16','Parsal_Bangle(Bellato_Warrior_TypeC)'
'99','igbwd16','Parsal_Bangle(Bellato_Warrior_TypeD)'
'100','igbwa19','Light_Enamel_Bangle(Bellato_Warrior_TypeA)'
'101','igbwb19','Intense_Light_Enamel_Bangle(Bellato_Warrior_TypeB)'
'102','igbwc19','Light_Enamel_Bangle(Bellato_Warrior_TypeC)'
'103','igbwd19','Light_Enamel_Bangle(Bellato_Warrior_TypeD)'
