'0','ihdbf01','Default_Bellato_Male_Helmet1'
'1','ihdbf02','Default_Bellato_Male_Helmet2'
'2','ihdbf03','Default_Bellato_Male_Helmet3'
'3','ihdbf04','Default_Bellato_Male_Helmet4'
'4','ihdbf05','Default_Bellato_Male_Helmet5'
'5','ihdbf06','Default_Bellato_Male_Helmet6'
'6','ihdbf07','Default_Bellato_Male_Helmet7'
'7','ihdbf08','Default_Bellato_Male_Helmet8'
'8','ihdbf09','Default_Bellato_Male_Helmet9'
'9','ihdbf10','Default_Bellato_Male_Helmet10'
'10','ihdbf11','Default_Bellato_Male_Helmet11'
'11','ihdbf12','Default_Bellato_Male_Helmet12'
'12','ihdbf13','Default_Bellato_Male_Helmet13'
'13','ihdbf14','Default_Bellato_Male_Helmet14'
'14','ihdbf15','Default_Bellato_Male_Helmet15'
'15','ihdbf16','Default_Bellato_Male_Helmet16'
'16','ihdbm01','Default_Bellato_Female_Helmet1'
'17','ihdbm02','Default_Bellato_Female_Helmet2'
'18','ihdbm03','Default_Bellato_Female_Helmet3'
'19','ihdbm04','Default_Bellato_Female_Helmet4'
'20','ihdbm05','Default_Bellato_Female_Helmet5'
'21','ihdbm06','Default_Bellato_Female_Helmet6'
'22','ihdbm07','Default_Bellato_Female_Helmet7'
'23','ihdbm08','Default_Bellato_Female_Helmet8'
'24','ihdbm09','Default_Bellato_Female_Helmet9'
'25','ihdbm10','Default_Bellato_Female_Helmet10'
'26','ihdbm11','Default_Bellato_Female_Helmet11'
'27','ihdbm12','Default_Bellato_Female_Helmet12'
'28','ihdbm13','Default_Bellato_Female_Helmet13'
'29','ihdbm14','Default_Bellato_Female_Helmet14'
'30','ihdbm15','Default_Bellato_Female_Helmet15'
'31','ihdbm16','Default_Bellato_Female_Helmet16'
'32','ihdcf01','Default_Cora_Male_Helmet1'
'33','ihdcf02','Default_Cora_Male_Helmet2'
'34','ihdcf03','Default_Cora_Male_Helmet3'
'35','ihdcf04','Default_Cora_Male_Helmet4'
