'0','ildbf01','Default_Bellato_Male_Pants1'
'1','ildbf02','Default_Bellato_Male_Pants2'
'2','ildbf03','Default_Bellato_Male_Pants3'
'3','ildbf04','Default_Bellato_Male_Pants4'
'4','ildbf05','Default_Bellato_Male_Pants5'
'5','ildbf06','Default_Bellato_Male_Pants6'
'6','ildbf07','Default_Bellato_Male_Pants7'
'7','ildbf08','Default_Bellato_Male_Pants8'
'8','ildbf09','Default_Bellato_Male_Pants9'
'9','ildbf10','Default_Bellato_Male_Pants10'
'10','ildbf11','Default_Bellato_Male_Pants11'
'11','ildbf12','Default_Bellato_Male_Pants12'
'12','ildbf13','Default_Bellato_Male_Pants13'
'13','ildbf14','Default_Bellato_Male_Pants14'
'14','ildbf15','Default_Bellato_Male_Pants15'
'15','ildbf16','Default_Bellato_Male_Pants16'
'16','ildbm01','Default_Bellato_Female_Pants1'
'17','ildbm02','Default_Bellato_Female_Pants2'
'18','ildbm03','Default_Bellato_Female_Pants3'
'19','ildbm04','Default_Bellato_Female_Pants4'
'20','ildbm05','Default_Bellato_Female_Pants5'
'21','ildbm06','Default_Bellato_Female_Pants6'
'22','ildbm07','Default_Bellato_Female_Pants7'
'23','ildbm08','Default_Bellato_Female_Pants8'
'24','ildbm09','Default_Bellato_Female_Pants9'
'25','ildbm10','Default_Bellato_Female_Pants10'
'26','ildbm11','Default_Bellato_Female_Pants11'
'27','ildbm12','Default_Bellato_Female_Pants12'
'28','ildbm13','Default_Bellato_Female_Pants13'
'29','ildbm14','Default_Bellato_Female_Pants14'
'30','ildbm15','Default_Bellato_Female_Pants15'
'31','ildbm16','Default_Bellato_Female_Pants16'
'32','ildcf01','Default_Cora_Male_Pants1'
'33','ildcf02','Default_Cora_Male_Pants2'
'34','ildcf03','Default_Cora_Male_Pants3'
'35','ildcf04','Default_Cora_Male_Pants4'
'36','ildcf05','Default_Cora_Male_Pants5'
'37','ildcf06','Default_Cora_Male_Pants6'
'38','ildcf07','Default_Cora_Male_Pants7'
'39','ildcf08','Default_Cora_Male_Pants8'
'40','ildcf09','Default_Cora_Male_Pants9'
'41','ildcf10','Default_Cora_Male_Pants10'
'42','ildcf11','Default_Cora_Male_Pants11'
'43','ildcf12','Default_Cora_Male_Pants12'
'44','ildcf13','Default_Cora_Male_Pants13'
'45','ildcf14','Default_Cora_Male_Pants14'
'46','ildcf15','Default_Cora_Male_Pants15'
'47','ildcf16','Default_Cora_Male_Pants16'
'48','ildcm01','Default_Cora_Female_Pants1'
'49','ildcm02','Default_Cora_Female_Pants2'
'50','ildcm03','Default_Cora_Female_Pants3'
'51','ildcm04','Default_Cora_Female_Pants4'
'52','ildcm05','Default_Cora_Female_Pants5'
'53','ildcm06','Default_Cora_Female_Pants6'
'54','ildcm07','Default_Cora_Female_Pants7'
'55','ildcm08','Default_Cora_Female_Pants8'
'56','ildcm09','Default_Cora_Female_Pants9'
'57','ildcm10','Default_Cora_Female_Pants10'
'58','ildcm11','Default_Cora_Female_Pants11'
'59','ildcm12','Default_Cora_Female_Pants12'
'60','ildcm13','Default_Cora_Female_Pants13'
