'0','00000','Young_Flym(A)'
'1','00001','Young_Flym(B)'
'2','00002','Young_Flym(C)'
'3','00100','Wing(A)'
'4','00101','Wing(B)'
'5','00102','Wing(C)'
'6','00300','Digger_Clan(A)'
'7','00301','Digger_Clan(B)'
'8','00201','Flym(B)'
'9','00202','Flym(C)'
'10','00200','Flym(A)'
'11','00500','Stingbug(A)'
'12','00501','Stingbug(B)'
'13','00302','DiggerClan(C)'
'14','00600','Heavy_Wing(A)'
'15','00400','Flym_Guard(A)'
'16','00401','Flym_Guard(B)'
'17','00402','Flym_Guard(C)'
'18','00502','Stingbug(C)'
'19','00900','Marr(A)'
'20','00901','Marr(B)'
'21','00700','Demolith(A)'
'22','00701','Demolith(B)'
'23','00702','Demolith(C)'
'24','00802','Adult_Stingbug(C)'
'25','00800','Adult_Stingbug(A)'
'26','00801','Adult_Stingbug(B)'
'27','00601','Heavy_Wing(B)'
'28','00602','Heavy_Wing(C)'
'29','00902','Marr(C)'
'30','00B00','Clan(A)'
'31','00A01','Splinter_Brat(B)'
'32','00A02','Splinter_Brat(C)'
'33','00A00','Splinter_Brat(A)'
'34','00D00','Lunker(A)'
'35','00D01','Lunker(B)'
'36','00E01','Host_Marr(B)'
'37','00E02','Host_Marr(C)'
'38','00E00','Host_Marr(A)'
'39','00C00','WarBeast(A)'
'40','00C01','WarBeast(B)'
'41','00D02','Lunker(C)'
'42','00F00','Ratmoth(A)'
'43','00F01','Ratmoth(B)'
'44','00F02','Ratmoth(C)'
'45','01000','Splinter(A)'
'46','00C02','WarBeast(C)'
'47','00B01','Clan(B)'
'48','00B02','Clan(C)'
'49','01100','Snatcher_Cheat(A)'
'50','01001','Splinter(B)'
'51','01002','Splinter(C)'
'52','01200','Neo_WarBeast(A)'
'53','01101','Snatcher_Cheat(B)'
'54','01102','Snatcher_Cheat(C)'
'55','01401','BoClan(B)'
'56','01402','BoClan(C)'
'57','01400','BoClan(A)'
'58','01201','Neo_WarBeast(B)'
'59','01202','Neo_WarBeast(C)'
'60','01301','Bloc_Lunker(B)'
'61','01302','Bloc_Lunker(C)'
'62','01300','Bloc_Lunker(A)'
'63','01700','Vafer_Nipper(A)'
'64','01701','Vafer_Nipper(B)'
'65','01602','Argol(C)'
'66','01500','Big_Ratmoth(A)'
'67','01501','Big_Ratmoth(B)'
'68','01502','Big_Ratmoth(C)'
'69','01600','Argol(A)'
'70','01601','Argol(B)'
'71','01702','Vafer_Nipper(C)'
'72','01900','Cannival(A)'
'73','01B00','Bulky_Lunker(A)'
'74','01B01','Bulky_Lunker(B)'
'75','01A02','Argolquich(C)'
'76','01800','GaffTail(A)'
'77','01801','GaffTail(B)'
'78','01802','GaffTail(C)'
'79','01901','Cannival(B)'
'80','01902','Cannival(C)'
'81','01A00','Argolquich(A)'
'82','01A01','Argolquich(B)'
'83','01B02','Bulky_Lunker(C)'
'84','01E00','Snatcher_Hurl(A)'
'85','01E01','Snatcher_Hurl(B)'
'86','01C01','Lapise(B)'
'87','01D02','Lava(C)'
'88','01C00','Lapise(A)'
'89','01C02','Lapise(C)'
'90','01D00','Lava(A)'
'91','01D01','Lava(B)'
'92','01E02','Snatcher_Hurl(C)'
'93','01F00','Gaf(A)'
'94','01F01','Gaf(B)'
'95','01F02','Gaf(C)'
'96','02000','Twizer(A)'
'97','02001','Twizer(B)'
'98','02002','Twizer(C)'
'99','02300','Lizard(A)'
'100','02301','Lizard(B)'
'101','02101','Crawler_Bunch(B)'
'102','02102','Crawler_Bunch(C)'
'103','02202','Vafer_Luther(C)'
'104','046A0','Lazhuardian_Warrior(Dun01)'
'105','02400','Grumble(A)'
'106','02401','Grumble(B)'
'107','02402','Grumble(C)'
'108','02100','Crawler_Bunch(A)'
'109','02200','Vafer_Luther(A)'
'110','02201','Vafer_Luther(B)'
'111','02302','Lizard(C)'
'112','048A0','Spell_Lazhuardian(Dun01)'
'113','02700','Ghost(A)'
'114','02500','Rigor_Lapise(A)'
'115','02501','Rigor_Lapise(B)'
'116','02602','Ops_Lava(C)'
'117','047A0','Lazhuardian(Dun01)'
'118','02800','Grumble_Hook(A)'
'119','02801','Grumble_Hook(B)'
'120','02802','Grumble_Hook(C)'
'121','02600','Ops_Lava(A)'
'122','02601','Ops_Lava(B)'
'123','02502','Rigor_Lapise(C)'
'124','02701','Ghost(B)'
'125','02702','Ghost(C)'
'126','041A0','Brutal(Dun01)'
'127','041A3','Mater_Brutal(Dun01_Boss)'
'128','04A00','Crystal(A)'
'129','04A01','Crystal(B)'
'130','04A02','Crystal(C)'
'131','02B00','Sandworm(A)'
'132','02B01','Sandworm(B)'
'133','02B02','Sandworm(C)'
'134','02900','Crawler_Cast(A)'
'135','02901','Crawler_Cast(B)'
'136','02902','Crawler_Cast(C)'
'137','02A00','Anabola(A)'
'138','02A01','Anabola(B)'
'139','02A02','Anabola(C)'
'140','04B00','Controller_Device(A)'
'141','04B01','Controller_Device(B)'
'142','04B02','Controller_Device(C)'
'143','02C00','Crook(A)'
'144','02C01','Crook(B)'
'145','02C02','Crook(C)'
'146','02D00','Villain_Cannival(A)'
'147','02D01','Villain_Cannival(B)'
'148','02D02','Villain_Cannival(C)'
'149','046A1','Lazhuardian_Warrior(Dun23)'
'150','02E00','Hue_Gaff(A)'
'151','02E01','Hue_Gaff(B)'
'152','02E02','Hue_Gaff(C)'
'153','02F00','Vafer_Sly(A)'
'154','02F01','Vafer_Sly(B)'
'155','02F02','Vafer_Sly(C)'
'156','041A1','Brutal(Dun23)'
'157','03200','Snatcher_Bite(A)'
