'0','ipbhp01','Bless_HP_Potion_100'
'1','ipbhp02','Bless_HP_Potion_250'
'2','ipbhp03','Bless_HP_Potion_500'
'3','ipbhp04','Bless_HP_Potion_1000'
'4','ipbhp05','Bless_HP_Potion_2000'
'5','ipbhp06','Bless_HP_Potion_3000'
'6','ipbhp07','Bless_HP_Potion_4000'
'7','ipbhp08','Bless_HP_Potion_5000'
'8','ipchp01','Pope_HP_Potion_100'
'9','ipchp02','Pope_HP_Potion_250'
'10','ipchp03','Pope_HP_Potion_500'
'11','ipchp04','Pope_HP_Potion_1000'
'12','ipchp05','Pope_HP_Potion_2000'
'13','ipchp06','Pope_HP_Potion_3000'
'14','ipchp07','Pope_HP_Potion_4000'
'15','ipchp08','Pope_HP_Potion_5000'
'16','ipahp01','Aid_HP_Charger_100'
'17','ipahp02','Aid_HP_Charger_250'
'18','ipahp03','Aid_HP_Charger_500'
'19','ipahp04','Aid_HP_Charger_1000'
'20','ipahp05','Aid_HP_Charger_2000'
'21','ipahp06','Aid_HP_Charger_3000'
'22','ipahp07','Aid_HP_Charger_4000'
'23','ipahp08','Aid_HP_Charger_5000'
'24','ipbfp01','Aid_FP_Potion_50'
'25','ipbfp02','Aid_FP_Potion_125'
'26','ipbfp03','Aid_FP_Potion_250'
'27','ipbfp04','Aid_FP_Potion_500'
'28','ipbfp05','Aid_FP_Potion_1000'
'29','ipbfp06','Aid_FP_Potion_1500'
'30','ipbfp07','Aid_FP_Potion_2000'
'31','ipbfp08','Aid_FP_Potion_2500'
'32','ipcfp01','Priest_FP_Potion_50'
'33','ipcfp02','Priest_FP_Potion_125'
'34','ipcfp03','Priest_FP_Potion_250'
'35','ipcfp04','Priest_FP_Potion_500'
'36','ipcfp05','Priest_FP_Potion_1000'
'37','ipcfp06','Priest_FP_Potion_1500'
'38','ipcfp07','Priest_FP_Potion_2000'
'39','ipcfp08','Priest_FP_Potion_2500'
'40','ipafp01','Mirror_FP_Charger_50'
'41','ipafp02','Mirror_FP_Charger_125'
'42','ipafp03','Mirror_FP_Charger_250'
'43','ipafp04','Mirror_FP_Charger_500'
'44','ipafp05','Mirror_FP_Charger_1000'
'45','ipafp06','Mirror_FP_Charger_1500'
'46','ipafp07','Mirror_FP_Charger_2000'
'47','ipafp08','Mirror_FP_Charger_2500'
'48','ipbsp01','Care_Stamina_Potion_100'
'49','ipbsp02','Care_Stamina_Potion_200'
'50','ipbsp03','Care_Stamina_Potion_400'
'51','ipbsp04','Care_Stamina_Potion_800'
'52','ipcsp01','Bishop_Stamina_Potion_100'
'53','ipcsp02','Bishop_Stamina_Potion_200'
'54','ipcsp03','Bishop_Stamina_Potion_400'
'55','ipcsp04','Bishop_Stamina_Potion_800'
'56','ipasp01','Optimus_Stamina_Charger_100'
'57','ipasp02','Optimus_Stamina_Charger_200'
'58','ipasp03','Optimus_Stamina_Charger_400'
'59','ipasp04','Optimus_Stamina_Charger_800'
'60','ipbad00','Adrenalin_Potion(Bellato)'
'61','ipcad00','Adrenalin_Potion_(Cora)'
'62','ipaad00','Over_Drive_Charger'
'63','ipbhp00','Training_Bless_HP_Potion_100'
'64','ipchp00','Training_Pope_HP_Potion_100'
'65','ipahp00','Training_Venom_HP_Charger_100'
'66','ipbfp00','Training_Aid_FP_Potion_50'
