'0','QI00000','Flym_Guard_armor'
'1','QI00100','WarBeast_horn'
'2','QI00200','Gaff_Tail_poisoned_needle'
'3','QI00300','Lapise_backplate'
'4','QI00400','Stingbug_skin'
'5','QI00500','Lunker_leather'
'6','QI00600','Twiser_claws'
'7','QI00700','HeavyWing_chip'
'8','QI00800','Lizard_backplate'
'9','QI00900','Archer_Bow'
'10','QI00901','Sickle_staff'
'11','QI00902','Scout_glove'
'12','QI00903','Queen_Crook_claws'
'13','QI00904','Caster_head_decoration'
'14','QI00905','Sermoner_hear_decoration'
'15','QI00906','Information_File(Cora)'
'16','QI00907','Information_File(Accretia)'
'17','QI00908','Crawler_Rex_shoulder_decoration'
'18','QI00909','Baffer_Rex_shoulder_decoration'
'19','QI00910','Snatcher_Rex_shoulder_decoration'
'20','QI00911','Clode_skin'
'21','QI00912','King_Twiser_skin'
'22','QI00913','Hobo_Blade_chip'
'23','QI00914','Hobo_Rover_chip'
'24','QI00915','Snatcher_Horn_spear'
'25','QI00916','Elder_Lizard_leather'
'26','QI00917','Armed_Ghost_glove'
'27','QI00918','Meat_Clode_skin'
'28','QI00919','Hobo_Turnpike_golden_glove'
'29','QI00920','Dagger'
'30','QI00921','Sword'
'31','QI00922','Sword_Breaker'
'32','QI00923','Spiked_Club'
'33','QI00924','Twin_Great_Axe'
'34','QI00925','Frenzy'
'35','QI00926','Battle_Staff'
'36','QI00927','Composite_Bow'
'37','QI00928','Large_Shield'
'38','QI00929','Stick_Bead'
'39','QI00930','War_Staff'
'40','QI00931','Kite_Shield'
'41','QI00932','ElaStick'
'42','QI00933','War_Wand'
'43','QI00934','Defender(BellatoCora)'
'44','QI00935','Zweihander'
'45','QI00936','Tower_Shield'
'46','QI00937','Bastard_Sword'
'47','QI00938','Scutum'
'48','QI00939','Double_Axe'
'49','QI00940','Plasma_Gun'
'50','QI00941','Beam_Shield'
'51','QI00942','Defender_Saver'
'52','QI00943','Big_Sword_Breaker'
'53','QI00944','Beam_Large_Shield'
'54','QI00945','Beam_Pike'
'55','QI00946','Scale_Shield'
'56','QI00947','RonDash'
'57','QI00948','Blue_Wand'
'58','QI00949','Great_Maul'
'59','QI00950','Scale_Sword'
'60','QI00951','Mirror_Shield'
'61','QI00952','Gothic_Shield'
'62','QI00953','Gun_Blade'
'63','QI00954','Black_Stick_Bead'
'64','QI00955','Pabis_Shield'
'65','QI00956','Adaga'
'66','QI00957','Beam_Gun_Bow'
'67','QI00958','Sickle_Knife'
'68','QI00959','Heater_Shield'
'69','QI00960','Hora_Spear'
'70','QI00961','Hora_Axe'
'71','QI00962','Hand_Axe'
'72','QI00963','Club'
'73','QI00964','Hammer'
'74','QI00965','Cross_Shield(Accretia)'
'75','QI00966','Blade'
'76','QI00967','Beam_Gun'
'77','QI00968','Full_Axe'
'78','QI00969','Spacer(Accretia)'
'79','QI00970','Gurz'
'80','QI00971','Small_Protector(Accretia)'
'81','QI00972','Assault_Rifle'
'82','QI00973','Two_Hand_Sword'
'83','QI00974','Pierce_Protector(Accretia)'
'84','QI00975','BuJu'
'85','QI00976','Lapith_Protector(Accretia)'
'86','QI00977','Two_Hand_Beam_Axe'
'87','QI00978','Cerato_Protector(Accretia)'
