'0','irriu01','Fetalium'
'1','irriu02','Lutalium'
'2','irriu03','Ostalium'
'3','irriu04','Haitalium'
'4','irriu05','Firstalium'
'5','irrio01','Cotalrio'
'6','irrio02','Lotalrio'
'7','irrio03','Iritalrio'
'8','irrio04','Metalrio'
'9','irrio05','Utalrio'
'10','irrus01','Baytalrous'
'11','irrus02','Niotalrous'
'12','irrus03','Teitalrous'
'13','irrus04','Dutalrous'
'14','irrus05','Protalrous'
'15','irria01','Crotalian'
'16','irria02','Motalian'
'17','irria03','Tutalian'
'18','irria04','Setalian'
'19','irria05','Newtalian'
'20','irtal01','Keen_Talic'
'21','irtal02','Destruction_Talic'
'22','irtal03','Darkness_Talic'
'23','irtal04','Chaos_Talic'
'24','irtal05','Hatred_Talic'
'25','irtal06','Favor_Talic'
'26','irtal07','Wisdom_Talic'
'27','irtal08','SacredFire_Talic'
'28','irtal09','Belief_Talic'
'29','irtal10','Guard_Talic'
'30','irtal11','Glory_Talic'
'31','irtal12','Grace_Talic'
'32','irtal13','Mercy_Talic'
'33','irtal14','Restoration_Talic'
'34','irgef01','Ruby'
'35','irgef02','Light_Ruby'
'36','irgef03','Fire_Ruby'
'37','irgea01','Crystal'
'38','irgea02','Water_Crystal'
'39','irgea03','Ice_Crystal'
'40','irget01','Topaz'
'41','irget02','Terra_Topaz'
'42','irget03','Poison_Topaz'
'43','irgew01','Obsidian'
'44','irgew02','Lightning_Obsidian'
'45','irgew03','Wind_Obsidian'
'46','irjad01','Lucky_Jade'
'47','irjad02','Promise_Jade'
'48','irjad03','Wealth_Jade'
'49','irjad04','Talk_Jade'
'50','irjad05','Separation_Jade'
'51','irebl01','Black_ExcelSiar_Piece'
'52','irere01','Red_ExcelSiar_Piece'
'53','irebu01','Blue_ExcelSiar_Piece'
'54','iregr01','Green_ExcelSiar_Piece'
'55','ireyl01','Yellow_ExcelSiar_Piece'
'56','irepu01','Purple_ExcelSiar_Piece'
'57','irewh01','White_ExcelSiar_Piece'
'58','irebw01','Brown_ExcelSiar_Piece'
'59','ireol01','Olive_ExcelSiar_Piece'
'60','irena01','Navy_ExcelSiar_Piece'
'61','irchr01','Christmas_JadeOfWealth'
'62','irchr02','Christmas_JadeOfSecession'
'63','irval01','Flowers'
'64','irgef04','Salamander_Ruby'
'65','irgea04','Angel_Crystal'
'66','irget04','Elemental_Topaz'
'67','irgew04','Truth_Obsidian'
'68','ircsa01','Lucky_Ruby(Cash)'
'69','ircsa02','Lucky_Crystal(Cash)'
'70','ircsa03','Lucky_Topaz(Cash)'
'71','ircsa04','Lucky_Obsidian(Cash)'
'72','irres01','Red_Stone'
'73','ircsa05','Jade_of_Abundance(Cash)_1_Days'
'74','ircsa06','Jade_of_Abundance(Cash)_6_Days'
'75','ircsa07','Jade_of_Abundance(Cash)_14_Days'
'76','ircsa08','Jade_of_Abundance(Cash)_30_Days'
