'0','iibba01','Fire_Parsal_WristletA(1)'
'1','iibba02','Fire_Parsal_WristletB(2)'
'2','iibba03','Fire_Parsal_WristletC(3)'
'3','iibba04','Fire_Parsal_WristletD(4)'
'4','iibba05','Fire_Parsal_WristletE(5)'
'5','iibba06','Fire_Parsal_WristletF(6)'
'6','iibba07','Fire_Parsal_WristletG(7)'
'7','iibba08','Aqua_Parsal_WristletA(1)'
'8','iibba09','Aqua_Parsal_WristletA(1)'
'9','iibba10','Aqua_Parsal_WristletB(2)'
'10','iibba11','Aqua_Parsal_WristletC(3)'
'11','iibba12','Aqua_Parsal_WristletD(4)'
'12','iibba13','Aqua_Parsal_WristletE(5)'
'13','iibba14','Aqua_Parsal_WristletF(6)'
'14','iibba15','Tera_Parsal_WristletA(1)'
'15','iibba16','Tera_Parsal_WristletB(2)'
'16','iibba17','Tera_Parsal_WristletC(3)'
'17','iibba18','Tera_Parsal_WristletD(4)'
'18','iibba19','Tera_Parsal_WristletE(5)'
'19','iibba20','Tera_Parsal_WristletF(6)'
'20','iibba21','Tera_Parsal_WristletG(7)'
'21','iibba22','Wind_Parsal_WristletA(1)'
'22','iibba23','Wind_Parsal_WristletB(2)'
'23','iibba24','Wind_Parsal_WristletC(3)'
'24','iibba25','Wind_Parsal_WristletD(4)'
'25','iibba26','Wind_Parsal_WristletE(5)'
'26','iibba27','Wind_Parsal_WristletF(6)'
'27','iibba28','Wind_Parsal_WristletG(7)'
'28','iibba29','Aqua_Spirit_WristletA(1)'
'29','iibba30','Aqua_Spirit_WristletB(2)'
'30','iibba31','Aqua_Spirit_WristletC(3)'
'31','iibba32','Aqua_Spirit_WristletD(4)'
'32','iibba33','Aqua_Spirit_WristletE(5)'
'33','iibba34','Aqua_Spirit_WristletF(6)'
'34','iibba35','Aqua_Spirit_WristletG(7)'
'35','iibba36','Aqua_Mind_WristletA(1)'
'36','iibba37','Aqua_Mind_WristletB(2)'
'37','iibba38','Aqua_Mind_WristletC(3)'
'38','iibba39','Aqua_Mind_WristletD(4)'
'39','iibba40','Aqua_Mind_WristletE(5)'
'40','iibba41','Aqua_Mind_WristletF(6)'
'41','iibba42','Aqua_Mind_WristletG(7)'
'42','iibba43','Fire_Mind_WristletA(1)'
'43','iibba44','Fire_Mind_WristletB(2)'
'44','iibba45','Fire_Mind_WristletC(3)'
'45','iibba46','Fire_Mind_WristletD(4)'
'46','iibba47','Fire_Mind_WristletE(5)'
'47','iibba48','Fire_Mind_WristletF(6)'
'48','iibba49','Fire_Mind_WristletG(7)'
'49','iibba50','Aqua_Ell_WristletA(1)'
'50','iibba51','Aqua_Ell_WristletB(2)'
'51','iibba52','Aqua_Ell_WristletC(3)'
'52','iibba53','Aqua_Ell_WristletD(4)'
'53','iibba54','Aqua_Ell_WristletE(5)'
'54','iibba55','Aqua_Ell_WristletF(6)'
'55','iibba56','Aqua_Ell_WristletG(7)'
'56','iibba57','Elemental_Parsal_Wristlet(Rare1-1)'
'57','iibba58','Elemental_Parsal_Wristlet(Rare1-2)'
'58','iibba59','Elemental_Parsal_Wristlet(Rare1-3)'
'59','iibba60','Elemental_Parsal_Wristlet(Rare1-4)'
'60','iibba61','Elemental_Parsal_Wristlet(Rare1-5)'
'61','iibba62','Elemental_Parsal_Wristlet(Rare1-6)'
'62','iibba63','Elemental_Parsal_Wristlet(Rare1-7)'
'63','iibba64','Elemental_Parsal_Wristlet(Rare1-8)'
'64','iibba65','Elemental_Spirit_Wristlet(Rare1-1)'
'65','iibba66','Elemental_Spirit_Wristlet(Rare1-2)'
'66','iibba67','Elemental_Spirit_Wristlet(Rare1-3)'
'67','iibba68','Elemental_Spirit_Wristlet(Rare1-4)'
'68','iibba69','Elemental_Spirit_Wristlet(Rare1-5)'
'69','iibba70','Elemental_Spirit_Wristlet(Rare1-6)'
'70','iibba71','Elemental_Spirit_Wristlet(Rare1-7)'
'71','iibba72','Elemental_Spirit_Wristlet(Rare1-8)'
'72','iibba73','Elemental_Mind_Wristlet(Rare1-1)'
'73','iibba74','Elemental_Mind_Wristlet(Rare1-2)'
'74','iibba75','Elemental_Mind_Wristlet(Rare1-3)'
'75','iibba76','Elemental_Mind_Wristlet(Rare1-4)'
'76','iibba77','Elemental_Mind_Wristlet(Rare1-5)'
'77','iibba78','Elemental_Mind_Wristlet(Rare1-6)'
'78','iibba79','Elemental_Mind_Wristlet(Rare1-7)'
'79','iibba80','Elemental_Mind_Wristlet(Rare1-8)'
'80','iibba81','Elemental_Ell_Wristlet(Rare1-1)'
'81','iibba82','Elemental_Ell_Wristlet(Rare1-2)'
'82','iibba83','Elemental_Ell_Wristlet(Rare1-3)'
'83','iibba84','Elemental_Ell_Wristlet(Rare1-4)'
'84','iibba85','Elemental_Ell_Wristlet(Rare1-5)'
'85','iibba86','Elemental_Ell_Wristlet(Rare1-6)'
'86','iibba87','Elemental_Ell_Wristlet(Rare1-7)'
'87','iibba88','Elemental_Ell_Wristlet(Rare1-8)'
'88','iibba89','Elemental_Tomb_LisletA(Rare1-1)'
'89','iibba90','Elemental_Tomb_LisletB(Rare1-2)'
'90','iibba91','Elemental_Tomb_LisletC(Rare1-3)'
'91','iibba92','Elemental_Tomb_LisletD(Rare1-4)'
'92','iibba93','Elemental_Tomb_LisletE(Rare1-5)'
'93','iibba94','Elemental_Tomb_LisletF(Rare1-6)'
'94','iibba95','Elemental_Tomb_LisletG(Rare1-7)'
'95','iibba96','Elemental_Tomb_LisletH(Rare1-8)'
'96','iibba97','Bellato_Wristlet97'
'97','iibba98','Bellato_Wristlet98'
'98','iibba99','Bellato_Wristlet99'
'99','iibbb01','Bellato_Wristlet100'
'100','iibbb02','Bellato_Wristlet101'
'101','iibbb03','Bellato_Wristlet102'
'102','iibbb04','Bellato_Wristlet103'
'103','iibbb05','Bellato_Wristlet104'
'104','iibbb06','Bellato_Wristlet105'
'105','iibbb07','Bellato_Wristlet106'
'106','iibbb08','Bellato_Wristlet107'
'107','iibbb09','Bellato_Wristlet108'
'108','iibbb10','Bellato_Wristlet109'
'109','iibbb11','Bellato_Wristlet110'
'110','iibbb12','Bellato_Wristlet111'
'111','iibbb13','Bellato_Wristlet112'
'112','iibbb14','Bellato_Wristlet113'
'113','iibbb15','Bellato_Wristlet114'
'114','iibbb16','Bellato_Wristlet115'
'115','iibbb17','Bellato_Wristlet116'
'116','iibbb18','Bellato_Wristlet117'
'117','iibbb19','Bellato_Wristlet118'
'118','iibbb20','Bellato_Wristlet119'
'119','iibbb21','Bellato_Wristlet120'
'120','iibbb22','Bellato_Wristlet121'
'121','iibbb23','Bellato_Wristlet122'
'122','iibbb24','Bellato_Wristlet123'
'123','iibbb25','Bellato_Wristlet124'
'124','iibbb26','Bellato_Wristlet125'
'125','iibbb27','Bellato_Wristlet126'
'126','iibbb28','Bellato_Wristlet127'
'127','iibbb29','Bellato_Wristlet128'
'128','iibbb30','Bellato_Wristlet129'
'129','iibbb31','Bellato_Wristlet130'
'130','iibbb32','Bellato_Wristlet131'
'131','iibbb33','Bellato_Wristlet132'
'132','iibbb34','Bellato_Wristlet133'
'133','iibbb35','Bellato_Wristlet134'
'134','iibbb36','Bellato_Wristlet135'
'135','iibbb37','Bellato_Wristlet136'
'136','iibbb38','Bellato_Wristlet137'
'137','iibbb39','Bellato_Wristlet138'
'138','iibbb40','Bellato_Wristlet139'
'139','iibbb41','Bellato_Wristlet140'
'140','iibbb42','Bellato_Wristlet141'
'141','iibbb43','Bellato_Wristlet142'
'142','iibbb44','Bellato_Wristlet143'
'143','iibbb45','Bellato_Wristlet144'
'144','iibbb46','Bellato_Wristlet145'
'145','iibbb47','Bellato_Wristlet146'
'146','iibbb48','Bellato_Wristlet147'
'147','iibbb49','Bellato_Wristlet148'
'148','iibbb50','Bellato_Wristlet149'
'149','iibbb51','Bellato_Wristlet150'
'150','iibbb52','Bellato_Wristlet151'
'151','iibbb53','Bellato_Wristlet152'
'152','iibbb54','Bellato_Wristlet153'
'153','iibbb55','Bellato_Wristlet154'
'154','iibbb56','Bellato_Wristlet155'
'155','iibbb57','Bellato_Wristlet156'
'156','iibbb58','Bellato_Wristlet157'
'157','iibbb59','Bellato_Wristlet158'
'158','iibbb60','Bellato_Wristlet159'
'159','iibbb61','Bellato_Wristlet160'
'160','iibbb62','Bellato_Wristlet161'
'161','iibbb63','Bellato_Wristlet162'
'162','iibbb64','Bellato_Wristlet163'
'163','iibbb65','Bellato_Wristlet164'
'164','iibbb66','Bellato_Wristlet165'
'165','iibbb67','Bellato_Wristlet166'
'166','iibbb68','Bellato_Wristlet167'
'167','iibbb69','Bellato_Wristlet168'
'168','iibbb70','Bellato_Wristlet169'
'169','iibbb71','Bellato_Wristlet170'
'170','iibbb72','Bellato_Wristlet171'
'171','iibbb73','Bellato_Wristlet172'
'172','iibbb74','Bellato_Wristlet173'
'173','iibbb75','Bellato_Wristlet174'
'174','iibbb76','Bellato_Wristlet175'
'175','iibbb77','Bellato_Wristlet176'
'176','iibbb78','Bellato_Wristlet177'
'177','iibbb79','Bellato_Wristlet178'
'178','iibbb80','Bellato_Wristlet179'
'179','iibbb81','Bellato_Wristlet180'
'180','iibbb82','Bellato_Wristlet181'
'181','iibbb83','Bellato_Wristlet182'
'182','iibbb84','Bellato_Wristlet183'
'183','iibbb85','Bellato_Wristlet184'
'184','iibbb86','Bellato_Wristlet185'
'185','iibbb87','Bellato_Wristlet186'
'186','iibbb88','Bellato_Wristlet187'
'187','iibbb89','Bellato_Wristlet188'
'188','iibbb90','Bellato_Wristlet189'
'189','iibbb91','Bellato_Wristlet190'
'190','iibbb92','Bellato_Wristlet191'
'191','iibbb93','Bellato_Wristlet192'
'192','iibbb94','Bellato_Wristlet193'
'193','iibbb95','Bellato_Wristlet194'
'194','iibbb96','Bellato_Wristlet195'
'195','iibbb97','Bellato_Wristlet196'
'196','iibbb98','Bellato_Wristlet197'
'197','iibbb99','Bellato_Wristlet198'
'198','iibbc01','Bellato_Wristlet199'
'199','iibbc02','Bellato_Wristlet200'
'200','iibbc03','Bellato_Wristlet201'
'201','iibbc04','Bellato_Wristlet202'
'202','iibbc05','Bellato_Wristlet203'
'203','iibbc06','Bellato_Wristlet204'
'204','iibbc07','Bellato_Wristlet205'
'205','iibbc08','Bellato_Wristlet206'
'206','iibbc09','Bellato_Wristlet207'
'207','iibbc10','Bellato_Wristlet208'
'208','iibbc11','Bellato_Wristlet209'
'209','iibbc12','Bellato_Wristlet210'
'210','iibbc13','Bellato_Wristlet211'
'211','iibbc14','Bellato_Wristlet212'
'212','iibbc15','Bellato_Wristlet213'
'213','iibbc16','Bellato_Wristlet214'
'214','iibbc17','Bellato_Wristlet215'
'215','iibbc18','Bellato_Wristlet216'
'216','iibbc19','Bellato_Wristlet217'
'217','iibbc20','Bellato_Wristlet218'
'218','iibbc21','Bellato_Wristlet219'
'219','iibbc22','Bellato_Wristlet220'
'220','iibbc23','Bellato_Wristlet221'
'221','iibbc24','Bellato_Wristlet222'
'222','iibbc25','Bellato_Wristlet223'
'223','iibbc26','Bellato_Wristlet224'
'224','iibbc27','Bellato_Wristlet225'
'225','iibbc28','Bellato_Wristlet226'
'226','iibbc29','Bellato_Wristlet227'
'227','iibbc30','Bellato_Wristlet228'
'228','iibbc31','Bellato_Wristlet229'
'229','iibbc32','Bellato_Wristlet230'
'230','iibbc33','Bellato_Wristlet231'
'231','iibbc34','Bellato_Wristlet232'
'232','iibbc35','Bellato_Wristlet233'
'233','iibbc36','Bellato_Wristlet234'
'234','iibbc37','Bellato_Wristlet235'
'235','iibbc38','Bellato_Wristlet236'
'236','iibbc39','Bellato_Wristlet237'
'237','iibbc40','Bellato_Wristlet238'
'238','iibbc41','Bellato_Wristlet239'
'239','iibbc42','Bellato_Wristlet240'
'240','iibbc43','Bellato_Wristlet241'
'241','iibbc44','Bellato_Wristlet242'
'242','iibbc45','Bellato_Wristlet243'
'243','iibbc46','Bellato_Wristlet244'
'244','iibbc47','Bellato_Wristlet245'
'245','iibbc48','Bellato_Wristlet246'
'246','iibbc49','Bellato_Wristlet247'
'247','iibbc50','Bellato_Wristlet248'
'248','iibbc51','Bellato_Wristlet249'
'249','iibbc52','Bellato_Wristlet250'
'250','iibbc53','Bellato_Wristlet251'
'251','iibbc54','Bellato_Wristlet252'
'252','iibbc55','Bellato_Wristlet253'
'253','iibbc56','Bellato_Wristlet254'
'254','iibbc57','Bellato_Wristlet255'
'255','iibbc58','Elemental_Parsal_Wristlet(Rare1-9)'
'256','iicca01','Fire_Stuff_ArmletA(1)'
'257','iicca02','Fire_Stuff_ArmletB(2)'
'258','iicca03','Fire_Stuff_ArmletC(3)'
'259','iicca04','Fire_Stuff_ArmletD(4)'
'260','iicca05','Fire_Stuff_ArmletE(5)'
'261','iicca06','Fire_Stuff_ArmletF(6)'
'262','iicca07','Fire_Stuff_ArmletG(7)'
'263','iicca08','Aqua_Stuff_ArmletA(1)'
'264','iicca09','Aqua_Stuff_ArmletB(2)'
'265','iicca10','Aqua_Stuff_ArmletC(3)'
'266','iicca11','Aqua_Stuff_ArmletD(4)'
'267','iicca12','Aqua_Stuff_ArmletE(5)'
'268','iicca13','Aqua_Stuff_ArmletF(6)'
'269','iicca14','Aqua_Stuff_ArmletG(7)'
'270','iicca15','Tera_Stuff_ArmletA(1)'
'271','iicca16','Tera_Stuff_ArmletB(2)'
'272','iicca17','Tera_Stuff_ArmletC(3)'
'273','iicca18','Tera_Stuff_ArmletD(4)'
'274','iicca19','Tera_Stuff_ArmletE(5)'
