'0','idbca04','Round_Shield'
'1','idbcb04','Intense_Round_Shield'
'2','idbcc04','Shield1C'
'3','idbcd04','Shield1D'
'4','idbca07','Buckler'
'5','idbcb07','Intense_Buckler'
'6','idbcc07','Shield2C'
'7','idbcd07','Shield2D'
'8','idbca10','Targe'
'9','idbcb10','Intense_Targe'
'10','idbcc10','Shield3C'
'11','idbcd10','Shield3D'
'12','idbca13','Large_Shield'
'13','idbcb13','Intense_Large_Shield'
'14','idbcc13','Shield4C'
'15','idbcd13','Shield4D'
'16','idbca16','Kite_Shield'
'17','idbcb16','Intense_Kite_Shield'
'18','idbcc16','Shield5C'
'19','idbcd16','Shield5D'
'20','idbca19','Defender'
'21','idbcb19','Intense_Defender'
'22','idbcc19','Shield6C'
'23','idbcd19','Shield6D'
'24','idbca21','Tower_Shield'
'25','idbcb21','Intense_Tower_Shield'
'26','idbcc21','Shield7C'
'27','idbcd21','Shield7D'
'28','idbca23','Scutum'
'29','idbcb23','Intense_Scutum'
'30','idbcc23','Shield8C'
'31','idbcd23','Shield8D'
'32','idbca25','Aspis'
'33','idbcb25','Intense_Aspis'
'34','idbcc25','Shield9C'
'35','idbcd25','Shield9D'
'36','idbca27','Beam_Shield'
'37','idbcb27','Intense_Beam_Shield'
'38','idbcc27','Shield10C'
'39','idbcd27','Shield10D'
'40','idbca29','Beam_Large_Shield'
'41','idbcb29','Intense_Beam_Large_Shield'
'42','idbcc29','Shield11C'
'43','idbcd29','Shield11D'
'44','idbca31','Scale_Shield'
'45','idbcb31','Intense_Scale_Shield'
'46','idbcc31','Shield12C'
'47','idbcd31','Shield12D'
'48','idbca33','Rondache'
'49','idbcb33','Intense_Rondache'
'50','idbcc33','Shield13C'
'51','idbcd33','Shield13D'
'52','idbca35','Hopron'
'53','idbcb35','Intense_Hopron'
'54','idbcc35','Shield14C'
'55','idbcd35','Shield14D'
'56','idbca37','Mirror_Shield'
'57','idbcb37','Intense_Mirror_Shield'
'58','idbcc37','Shield15C'
'59','idbcd37','Shield15D'
'60','idbca39','Gothic_Shield'
'61','idbcb39','Intense_Gothic_Shield'
'62','idbcc39','Shield16C'
'63','idbcd39','Shield16D'
'64','idbca41','Parvise_Shield'
'65','idbcb41','Intense_Parvise_Shield'
'66','idbcc41','Shield17C'
'67','idbcd41','Shield17D'
'68','idbca43','Adarga'
'69','idbcb43','Intense_Adarga'
'70','idbcc43','Shield18C'
'71','idbcd43','Shield18D'
'72','idbca45','Beam_Parvise_Shield'
'73','idbcb45','Intense_Beam_Parvise_Shield'
'74','idbcc45','Shield19C'
'75','idbcd45','Shield19D'
'76','idbca47','Heater_Shield'
'77','idbcb47','Intense_Heater_Shield'
'78','idbcc47','Shield20C'
'79','idbcd47','Shield20D'
'80','idbca50','Hora_Shield'
'81','idbcb50','Intense_Hora_Shield'
'82','idbcc50','Shield21C'
'83','idbcd50','Shield21D'
'84','idaaa04','Solid_Shield'
'85','idaab04','Intense_Solid_Shield'
'86','idaac04','Shield1C'
'87','idaad04','Shield1D'
'88','idaaa07','Cross_Shield'
'89','idaab07','Intense_Cross_Shield'
'90','idaac07','Shield2C'
'91','idaad07','Shield2D'
'92','idaaa10','Protector'
'93','idaab10','Intense_Protector'
'94','idaac10','Shield3C'
'95','idaad10','Shield3D'
'96','idaaa13','Spacer'
'97','idaab13','Intense_Spacer'
'98','idaac13','Shield4C'
'99','idaad13','Shield4D'
'100','idaaa16','So_Protector'
'101','idaab16','Intense_So_Protector'
'102','idaac16','Shield5C'
'103','idaad16','Shield5D'
'104','idaaa19','Pierce_Protector'
'105','idaab19','Intense_Pierce_Protector'
'106','idaac19','Shield6C'
'107','idaad19','Shield6D'
'108','idaaa21','Lapith_Protector'
'109','idaab21','Intense_Lapith_Protector'
'110','idaac21','Shield7C'
'111','idaad21','Shield7D'
'112','idaaa23','Cerato_Protector'
'113','idaab23','Intense_Cerato_Protector'
'114','idaac23','Shield8C'
'115','idaad23','Shield8D'
'116','idaaa25','Laser_Aspis'
'117','idaab25','Intense_Laser_Aspis'
'118','idaac25','Shield9C'
'119','idaad25','Shield9D'
'120','idaaa27','Tower_Protector'
'121','idaab27','Intense_Tower_Protector'
'122','idaac27','Shield10C'
'123','idaad27','Shield10D'
'124','idaaa29','Dual_Protector'
'125','idaab29','Intense_Dual_Protector'
'126','idaac29','Shield11C'
'127','idaad29','Shield11D'
'128','idaaa31','Shadow_Protector'
'129','idaab31','Intense_Shadow_Protector'
'130','idaac31','Shield12C'
'131','idaad31','Shield12D'
'132','idaaa33','Beam_Protector'
'133','idaab33','Intense_Beam_Protector'
'134','idaac33','Shield13C'
'135','idaad33','Shield13D'
'136','idaaa35','Large_Protector'
'137','idaab35','Intense_Large_Protector'
'138','idaac35','Shield14C'
'139','idaad35','Shield14D'
'140','idaaa37','Crystal_Protector'
'141','idaab37','Intense_Crystal_Protector'
'142','idaac37','Shield15C'
'143','idaad37','Shield15D'
'144','idaaa39','Round_Protector'
'145','idaab39','Intense_Round_Protector'
'146','idaac39','Shield16C'
'147','idaad39','Shield16D'
'148','idaaa41','Beam_Cross_Protector'
'149','idaab41','Intense_Beam_Cross_Protector'
'150','idaac41','Shield17C'
'151','idaad41','Shield17D'
'152','idaaa43','Beam_Round_Protector'
'153','idaab43','Intense_Beam_Round_Protector'
'154','idaac43','Shield18C'
'155','idaad43','Shield18D'
'156','idaaa45','Golden_Protector'
'157','idaab45','Intense_Golden_Protector'
'158','idaac45','Shield19C'
'159','idaad45','Shield19D'
'160','idaaa47','Sic_Protector'
'161','idaab47','Intense_Sic_Protector'
'162','idaac47','Shield20C'
'163','idaad47','Shield20D'
'164','idaaa50','Platium_Protector'
'165','idaab50','Intense_Platium_Protector'
'166','idaac50','Shield21C'
'167','idaad50','Shield21D'
'168','idbha04','Advanced_Strength_Round_Shield'
'169','idbhb04','Saving_Round_Shield'
'170','idbhc04','Fine_Round_Shield'
'171','idbhd04','Anti_Sharp_Round_Shield'
'172','idbhe04','Strong_Round_Shield'
'173','idbhf04','Solid_Round_Shield'
'174','idbhg04','Strength_Round_Shield'
'175','idbhh04','Protection_Round_Shield'
'176','idbhi04','Vampire_Round_Shield'
'177','idbhj04','Guardian_Round_Shield'
'178','idbhk04','Sharp_Round_Shield'
'179','idbhl04','Grand_Round_Shield'
'180','idbha07','Advanced_Strength_Buckler'
'181','idbhb07','Saving_Buckler'
'182','idbhc07','Fine_Buckler'
'183','idbhd07','Anti_Sharp_Buckler'
'184','idbhe07','Strong_Buckler'
'185','idbhf07','Solid_Buckler'
'186','idbhg07','Strength_Buckler'
'187','idbhh07','Protection_Buckler'
'188','idbhi07','Vampire_Buckler'
'189','idbhj07','Guardian_Buckler'
'190','idbhk07','Sharp_Buckler'
'191','idbhl07','Grand_Buckler'
'192','idbha10','Advanced_Strength_Targe'
'193','idbhb10','Saving_Targe'
'194','idbhc10','Fine_Targe'
'195','idbhd10','Anti_Sharp_Targe'
'196','idbhe10','Strong_Targe'
'197','idbhf10','Solid_Targe'
'198','idbhg10','Strength_Targe'
'199','idbhh10','Protection_Targe'
'200','idbhi10','Vampire_Targe'
'201','idbhj10','Guardian_Targe'
'202','idbhk10','Sharp_Targe'
'203','idbhl10','Grand_Targe'
'204','idbha13','Advanced_Strength_Large_Shield'
'205','idbhb13','Saving_Large_Shield'
'206','idbhc13','Fine_Large_Shield'
'207','idbhd13','Anti_Sharp_Large_Shield'
'208','idbhe13','Strong_Large_Shield'
'209','idbhf13','Solid_Large_Shield'
'210','idbhg13','Strength_Large_Shield'
'211','idbhh13','Protection_Large_Shield'
'212','idbhi13','Vampire_Large_Shield'
'213','idbhj13','Guardian_Large_Shield'
'214','idbhk13','Sharp_Large_Shield'
'215','idbhl13','Grand_Large_Shield'
'216','idbha16','Advanced_Strength_Kite_Shield'
'217','idbhb16','Saving_Kite_Shield'
'218','idbhc16','Fine_Kite_Shield'
'219','idbhd16','Anti_Sharp_Kite_Shield'
'220','idbhe16','Strong_Kite_Shield'
'221','idbhf16','Solid_Kite_Shield'
'222','idbhg16','Strength_Kite_Shield'
'223','idbhh16','Protection_Kite_Shield'
'224','idbhi16','Vampire_Kite_Shield'
'225','idbhj16','Guardian_Kite_Shield'
'226','idbhk16','Sharp_Kite_Shield'
'227','idbhl16','Grand_Kite_Shield'
'228','idbha19','Advanced_Strength_Defender'
'229','idbhb19','Saving_Defender'
'230','idbhc19','Fine_Defender'
'231','idbhd19','Anti_Sharp_Defender'
'232','idbhe19','Strong_Defender'
'233','idbhf19','Solid_Defender'
'234','idbhg19','Strength_Defender'
'235','idbhh19','Protection_Defender'
'236','idbhi19','Vampire_Defender'
'237','idbhj19','Guardian_Defender'
'238','idbhk19','Sharp_Defender'
'239','idbhl19','Grand_Defender'
'240','idbha21','Advanced_Strength_Tower_Shield'
'241','idbhb21','Saving_Tower_Shield'
'242','idbhc21','Fine_Tower_Shield'
'243','idbhd21','Anti_Sharp_Tower_Shield'
'244','idbhe21','Strong_Tower_Shield'
'245','idbhf21','Solid_Tower_Shield'
'246','idbhg21','Strength_Tower_Shield'
'247','idbhh21','Protection_Tower_Shield'
