'0','iwkna01','Dagger(A)'
'1','iwknb01','Intense_Dagger(B)'
'2','iwknc01','Dagger(C)'
'3','iwknd01','Kamasoon_Sword(D)'
'4','iwkna02','Dirk(A)'
'5','iwknb02','Intense_Dirk(B)'
'6','iwknc02','Dirk(C)'
'7','iwknz02','Izen_Ritter`s_Back_Blade(High11)'
'8','iwkna03','Kukri(A)'
'9','iwknb03','Intense_Kukri(B)'
'10','iwknc03','Kukri(C)'
'11','iwknz03','Izen_Ritter`s_sealed_Back_Blade(Low11)'
'12','iwkna04','Knife4(A)'
'13','iwknb04','Intense_Knife4(B)'
'14','iwknc04','Knife4(C)'
'15','iwknd04','Knife4(D)'
'16','iwkna05','Stick_Knife(A)'
'17','iwknb05','Intense_Stick_Knife(B)'
'18','iwknc05','Stick_Knife(C)'
'19','iwknd05','Stick_Knife(D)'
'20','iwkna06','Knife6(A)'
'21','iwknb06','Intense_Knife6(B)'
'22','iwknc06','Knife6(C)'
'23','iwknd06','Knife6(D)'
'24','iwkna07','Blade(A)'
'25','iwknb07','Intense_Blade(B)'
'26','iwknc07','Blade(C)'
'27','iwknd07','Blade(D)'
'28','iwkna08','Knife8(A)'
'29','iwknb08','Intense_Knife8(B)'
'30','iwknc08','Knife8(C)'
'31','iwknd08','Knife8(D)'
'32','iwkna09','Knife9(A)'
'33','iwknb09','Intense_Knife9(B)'
'34','iwknc09','Knife9(C)'
'35','iwknd09','Knife9(D)'
'36','iwkna10','Saber(A)'
'37','iwknb10','Intense_Saber(B)'
'38','iwknc10','Saber(C)'
'39','iwknd10','Saber(D)'
'40','iwkna11','Knife11(A)'
'41','iwknb11','Intense_Knife11(B)'
'42','iwknc11','Knife11(C)'
'43','iwknd11','Knife11(D)'
'44','iwkna12','Shamshir(A)'
'45','iwknb12','Intense_Shamshir(B)'
'46','iwknc12','Shamshir(C)'
'47','iwknd12','Shamshir(D)'
'48','iwkna13','Knife13(A)'
'49','iwknb13','Intense_Knife13(B)'
'50','iwknc13','Knife13(C)'
'51','iwknd13','Knife13(D)'
'52','iwkna14','Knife14(A)'
'53','iwknb14','Intense_Knife14(B)'
'54','iwknc14','Knife14(C)'
'55','iwknd14','Knife14(D)'
'56','iwkna15','Hunting_Knife(A)'
'57','iwknb15','Intense_Hunting_Knife(B)'
'58','iwknc15','Hunting_Knife(C)'
'59','iwknd15','Hunting_Knife(D)'
'60','iwkna16','Knife16(A)'
'61','iwknb16','Intense_Knife16(B)'
'62','iwknc16','Knife16(C)'
'63','iwknd16','Knife16(D)'
'64','iwkna17','Knife17(A)'
'65','iwknb17','Intense_Knife17(B)'
'66','iwknc17','Knife17©'
'67','iwknd17','Knife17(D)'
'68','iwkna18','Sosun_Patta(A)'
'69','iwknb18','Intense_Sosun_Patta(B)'
'70','iwknc18','Sosun_Patta(C)'
'71','iwknd18','Sosun_Patta(D)'
'72','iwkna19','Knife19(A)'
'73','iwknb19','Intense_Knife19(B)'
'74','iwknc19','Knife19(C)'
'75','iwknd19','Knife19(D)'
'76','iwkna20','Falchion(A)'
'77','iwknb20','Intense_Falchion(B)'
'78','iwknc20','Falchion(C)'
'79','iwknd20','Falchion(D)'
'80','iwkna21','Knife21(A)'
'81','iwknb21','Intense_Knife21(B)'
'82','iwknc21','Knife21(C)'
'83','iwknd21','Knife21(D)'
'84','iwkna22','Katana(A)'
'85','iwknb22','Intense_Katana(B)'
'86','iwknc22','Katana(C)'
'87','iwknd22','Katana(D)'
'88','iwkna23','Knife23(A)'
'89','iwknb23','Intense_Knife23(B)'
'90','iwknc23','Knife23(C)'
'91','iwknd23','Knife23(D)'
'92','iwkna24','Knife24(A)'
'93','iwknb24','Intense_Knife24(B)'
'94','iwknc24','Knife24(C)'
'95','iwknd24','Knife24(D)'
'96','iwkna25','Shotel(A)'
'97','iwknb25','Intense_Shotel(B)'
'98','iwknc25','Shotel(C)'
'99','iwknd25','Shotel(D)'
'100','iwkna26','Knife26(A)'
'101','iwknb26','Intense_Knife26(B)'
'102','iwknc26','Knife26(C)'
'103','iwknd26','Knife26(D)'
'104','iwkna27','Knife27(A)'
'105','iwknb27','Intense_Knife27(B)'
'106','iwknc27','Knife27(C)'
'107','iwknd27','Knife27(D)'
'108','iwkna28','Defender_Saber(A)'
'109','iwknb28','Intense_Defender_Saber(B)'
'110','iwknc28','Defender_Saber(C)'
'111','iwknd28','Defender_Saber(D)'
'112','iwkna29','Knife29(A)'
'113','iwknb29','Intense_Knife29(B)'
'114','iwknc29','Knife29(C)'
'115','iwknd29','Knife29(D)'
'116','iwkna30','Beam_Saber(A)'
'117','iwknb30','Intense_Beam_Saber(B)'
'118','iwknc30','Beam_Saber(C)'
'119','iwknd30','Beam_Saber(D)'
'120','iwkna31','Knife31(A)'
'121','iwknb31','Intense_Knife31(B)'
'122','iwknc31','Knife31(C)'
'123','iwknd31','Knife31(D)'
'124','iwkna32','Knife32(A)'
'125','iwknb32','Intense_Knife32(B)'
'126','iwknc32','Knife32(C)'
'127','iwknd32','Knife32(D)'
'128','iwkna33','Knife33(A)'
'129','iwknb33','Intense_Knife33(B)'
'130','iwknc33','Knife33(C)'
'131','iwknd33','Knife33(D)'
'132','iwkna34','Knife34(A)'
'133','iwknb34','Intense_Knife34(B)'
'134','iwknc34','Knife34(C)'
'135','iwknd34','Knife34(D)'
'136','iwkna35','Bone_Knife(A)'
'137','iwknb35','Intense_Bone_Knife(B)'
'138','iwknc35','Bone_Knife(C)'
'139','iwknd35','Bone_Knife(D)'
'140','iwkna36','Knife36(A)'
'141','iwknb36','Intense_Knife36(B)'
'142','iwknc36','Knife36(C)'
'143','iwknd36','Knife36(D)'
'144','iwkna37','Knife37(A)'
'145','iwknb37','Intense_Knife37(B)'
'146','iwknc37','Knife37(C)'
'147','iwknd37','Knife37(D)'
'148','iwkna38','Knife38(A)'
'149','iwknb38','Intense_Knife38(B)'
'150','iwknc38','Knife38(C)'
'151','iwknd38','Knife38(D)'
'152','iwkna39','Knife39(A)'
'153','iwknb39','Intense_Knife39(B)'
'154','iwknc39','Knife39(C)'
'155','iwknd39','Knife39(D)'
'156','iwkna40','Gun_Blade(A)'
'157','iwknb40','Intense_Gun_Blade(B)'
'158','iwknc40','Gun_Blade(C)'
'159','iwknd40','Gun_Blade(D)'
'160','iwkna41','Knife41(A)'
'161','iwknb41','Intense_Knife41(B)'
'162','iwknc41','Knife41(C)'
'163','iwknd41','Knife41(D)'
'164','iwkna42','Knife42(A)'
'165','iwknb42','Intense_Knife42(B)'
'166','iwknc42','Knife42(C)'
'167','iwknd42','Knife42(D)'
'168','iwkna43','Knife43(A)'
'169','iwknb43','Intense_Knife43(B)'
'170','iwknc43','Knife43(C)'
'171','iwknd43','Knife43(D)'
'172','iwkna44','Knife44(A)'
'173','iwknb44','Intense_Knife44(B)'
'174','iwknc44','Knife44(C)'
'175','iwknd44','Knife44(D)'
'176','iwkna45','Sickle_Knife(A)'
'177','iwknb45','Intense_Sickle_Knife(B)'
'178','iwknc45','Sickle_Knife(C)'
'179','iwknd45','Sickle_Knife(D)'
'180','iwkna46','Knife46(A)'
'181','iwknb46','Intense_Knife46(B)'
'182','iwknc46','Knife46(C)'
'183','iwknd46','Knife46(D)'
'184','iwkna47','Knife47(A)'
'185','iwknb47','Intense_Knife47(B)'
'186','iwknc47','Knife47(C)'
'187','iwknd47','Knife47(D)'
'188','iwkna48','Knife48(A)'
'189','iwknb48','Intense_Knife48(B)'
'190','iwknc48','Knife48(C)'
'191','iwknd48','Knife48(D)'
'192','iwkna49','Knife49(A)'
'193','iwknb49','Intense_Knife49(B)'
'194','iwknc49','Knife49(C)'
'195','iwknd49','Knife49(D)'
'196','iwkna50','Hora_Knife(A)'
'197','iwknb50','Intense_Hora_Knife(B)'
'198','iwknc50','Hora_Knife(C)'
'199','iwknd50','Hora_Knife(D)'
'200','iwswa01','Sword(A)'
'201','iwswb01','Intense_Sword(B)'
'202','iwswc01','Sword(C)'
'203','iwswz01','Man_Eater(High1)'
'204','iwswa02','Nova_Sword(A)'
'205','iwswb02','Intense_Nova_Sword(B)'
'206','iwswc02','Nova_Sword(C)'
'207','iwswz02','Sealed_Man_Eater(Low1)'
'208','iwswa03','Long_Sword(A)'
'209','iwswb03','Intense_Long_Sword(B)'
'210','iwswc03','Long_Sword(C)'
'211','iwswd03','Long_Sword(D)'
'212','iwswa04','Sword4(A)'
'213','iwswb04','Intense_Sword4(B)'
'214','iwswc04','Sword4(C)'
'215','iwswd04','Sword4(D)'
'216','iwswa05','Sword_Breaker(A)'
'217','iwswb05','Intense_Sword_Breaker(B)'
'218','iwswc05','Sword_Breaker(C)'
'219','iwswd05','Sword_Breaker(D)'
'220','iwswa06','Sword6(A)'
'221','iwswb06','Intense_Sword6(B)'
'222','iwswc06','Sword6(C)'
'223','iwswd06','Sword6(D)'
'224','iwswa07','Katzbalger(A)'
'225','iwswb07','Intense_Katzbalger(B)'
'226','iwswc07','Katzbalger(C)'
'227','iwswd07','Katzbalger(D)'
'228','iwswa08','Sword8(A)'
'229','iwswb08','Intense_Sword8(B)'
'230','iwswc08','Sword8(C)'
'231','iwswd08','Sword8(D)'
'232','iwswa09','Sword9(A)'
'233','iwswb09','Intense_Sword9(B)'
'234','iwswc09','Sword9(C)'
'235','iwswd09','Sword9(D)'
'236','iwswa10','Broad_Sword(A)'
'237','iwswb10','Intense_Broad_Sword(B)'
'238','iwswc10','Broad_Sword(C)'
'239','iwswd10','Broad_Sword(D)'
'240','iwswa11','Sword11(A)'
'241','iwswb11','Intense_Sword11(B)'
'242','iwswc11','Sword11(C)'
'243','iwswd11','Sword11(D)'
'244','iwswa12','Valkyrie_Sword(A)'
'245','iwswb12','Intense_Valkyrie_Sword(B)'
'246','iwswc12','Valkyrie_Sword(C)'
'247','iwswd12','Valkyrie_Sword(D)'
'248','iwswa13','Sword13(A)'
'249','iwswb13','Intense_Sword13(B)'
'250','iwswc13','Sword13(C)'
'251','iwswd13','Sword13(D)'
'252','iwswa14','Sword14(A)'
'253','iwswb14','Intense_Sword14(B)'
'254','iwswc14','Sword14(C)'
'255','iwswd14','Sword14(D)'
'256','iwswa15','Butcher_Sword(A)'
'257','iwswb15','Intense_Butcher_Sword(B)'
'258','iwswc15','Butcher_Sword(C)'
'259','iwswd15','Butcher_Sword(D)'
'260','iwswa16','Sword16(A)'
'261','iwswb16','Intense_Sword16(B)'
'262','iwswc16','Sword16(C)'
'263','iwswd16','Sword16(D)'
'264','iwswa17','Sword17(A)'
'265','iwswb17','Intense_Sword17(B)'
'266','iwswc17','Sword17(C)'
'267','iwswd17','Sword17(D)'
'268','iwswa18','Two_Hand_Sword(A)'
'269','iwswb18','Intense_Two_Hand_Sword(B)'
'270','iwswc18','Two_Hand_Sword(C)'
'271','iwswd18','Two_Hand_Sword(D)'
'272','iwswa19','Sword19(A)'
'273','iwswb19','Intense_Sword19(B)'
'274','iwswc19','Sword19(C)'
'275','iwswd19','Sword19(D)'
'276','iwswa20','Zweihander(A)'
'277','iwswb20','Intense_Zweihander(B)'
'278','iwswc20','Zweihander(C)'
'279','iwswd20','Zweihander(D)'
'280','iwswa21','Sword21(A)'
'281','iwswb21','Intense_Sword21(B)'
'282','iwswc21','Sword21(C)'
'283','iwswd21','Sword21(D)'
'284','iwswa22','Bastard_Sword(A)'
'285','iwswb22','Intense_Bastard_Sword(B)'
'286','iwswc22','Bastard_Sword(C)'
'287','iwswd22','Bastard_Sword(D)'
'288','iwswa23','Sword23(A)'
'289','iwswb23','Intense_Sword23(B)'
'290','iwswc23','Sword23(C)'
'291','iwswd23','Sword23(D)'
'292','iwswa24','Sword24(A)'
'293','iwswb24','Intense_Sword24(B)'
'294','iwswc24','Sword24(C)'
'295','iwswd24','Sword24(D)'
'296','iwswa25','Claymore(A)'
'297','iwswb25','Intense_Claymore(B)'
'298','iwswc25','Claymore(C)'
'299','iwswd25','Claymore(D)'
'300','iwswa26','Sword26(A)'
'301','iwswb26','Intense_Sword26(B)'
'302','iwswc26','Sword26(C)'
'303','iwswd26','Sword26(D)'
'304','iwswa27','Sword27(A)'
'305','iwswb27','Intense_Sword27(B)'
'306','iwswc27','Sword27(C)'
'307','iwswd27','Sword27(D)'
'308','iwswa28','Big_Sword_Breaker(A)'
'309','iwswb28','Intense_Big_Sword_Breaker(B)'
'310','iwswc28','Big_Sword_Breaker(C)'
'311','iwswd28','Big_Sword_Breaker(D)'
'312','iwswa29','Sword29(A)'
'313','iwswb29','Intense_Sword29(B)'
'314','iwswc29','Sword29(C)'
'315','iwswd29','Sword29(D)'
'316','iwswa30','Beam_Sword(A)'
'317','iwswb30','Intense_Beam_Sword(B)'
'318','iwswc30','Beam_Sword(C)'
'319','iwswd30','Beam_Sword(D)'
'320','iwswa31','Sword31(A)'
'321','iwswb31','Intense_Sword31(B)'
'322','iwswc31','Sword31(C)'
'323','iwswd31','Sword31(D)'
'324','iwswa32','Sword32(A)'
'325','iwswb32','Intense_Sword32(B)'
'326','iwswc32','Sword32(C)'
'327','iwswd32','Sword32(D)'
'328','iwswa33','Sword33(A)'
'329','iwswb33','Intense_Sword33(B)'
'330','iwswc33','Sword33(C)'
'331','iwswd33','Sword33(D)'
'332','iwswa34','Sword34(A)'
'333','iwswb34','Intense_Sword34(B)'
'334','iwswc34','Sword34(C)'
'335','iwswd34','Sword34(D)'
'336','iwswa35','Scale_Sword(A)'
'337','iwswb35','Intense_Scale_Sword(B)'
'338','iwswc35','Scale_Sword(C)'
'339','iwswd35','Scale_Sword(D)'
'340','iwswa36','Sword36(A)'
